495	0.34	9.14	0.20	10.46	3.62	12.68	77.00	45.92	0.38	7.72	6.10	1.86	2.20	10.58	10.29	1.28	1.99	45.00	4.87	0.10	1.15	0.35	2.05	1.52	4.66	9.84	43.95	0.33	3.56	2.81	0.60	0.84	5.22	5.16	0.80	0.93	44.04	3.18	2317	-35.90	0.1966	0.1594
525	0.18	14.65	27.00	102.82	2.20	11.70	74.00	32.37	4.43	8.40	50.23	1.62	1.60	6.17	5.85	0.60	1.59	31.35	7.05	0.12	2.28	25.17	183.85	0.40	6.35	24.93	5.11	6.97	6.00	71.98	0.48	0.76	1.93	1.88	0.52	0.35	5.23	5.95	2477	-33.81	0.2649	0.2117
543	0.10	10.48	0.00	12.82	3.86	11.46	68.42	28.06	0.50	8.06	4.70	1.72	1.58	11.16	10.85	0.62	1.52	27.10	5.24	0.06	0.98	0.00	2.30	2.12	3.93	18.57	8.52	0.23	3.25	1.70	0.44	0.60	6.16	6.05	0.35	0.32	8.21	2.10	2581	-34.09	0.2546	0.2015
581	0.30	10.06	0.00	11.14	3.24	10.82	72.80	41.72	0.64	6.64	6.18	1.90	1.78	6.52	6.27	0.99	1.82	40.92	5.04	0.14	1.57	0.00	0.64	0.92	2.68	10.65	7.06	0.51	2.54	2.50	0.40	0.60	2.22	2.15	0.53	0.68	7.28	2.20	2789	-33.82	0.2646	0.2054
601	0.06	7.75	0.15	11.17	2.65	13.08	84.50	36.83	0.33	8.87	7.33	2.00	2.15	10.00	9.66	1.09	1.67	35.78	6.50	0.06	0.72	0.19	1.70	2.12	5.03	20.22	15.74	0.15	4.92	3.69	0.64	0.59	3.95	3.88	0.86	0.62	15.83	4.67	2898	-33.91	0.2612	0.2008
714	0.03	8.55	0.75	12.08	4.53	14.43	62.25	14.75	2.35	6.00	3.65	1.00	1.25	5.25	5.03	0.53	3.72	14.02	4.81	0.01	1.02	0.84	0.39	1.95	6.86	8.64	3.95	2.48	5.17	2.75	0.50	0.39	3.00	2.82	0.45	2.06	3.45	4.57	3558	-34.96	0.2248	0.1626
725	0.09	8.52	0.62	12.30	3.64	16.14	77.40	32.80	3.92	5.18	7.38	1.30	2.08	11.28	11.08	1.46	3.77	32.18	2.67	0.05	0.71	0.47	2.47	2.51	7.00	11.13	10.31	1.37	2.78	4.16	0.55	0.93	7.55	7.45	0.64	1.54	10.06	1.28	3622	-35.51	0.2078	0.1494
736	0.02	9.03	0.80	12.37	3.10	15.77	74.00	23.93	6.47	4.30	4.50	0.73	2.43	7.27	7.11	1.92	5.07	23.40	2.71	0.00	0.50	0.43	0.33	1.31	2.83	6.68	5.30	0.34	2.37	3.18	0.09	0.26	0.25	0.32	0.42	2.76	5.49	2.43	3690	-35.20	0.2172	0.1552
747	0.04	9.65	3.85	11.85	4.15	12.02	89.00	23.52	5.45	3.60	6.80	0.90	1.15	5.88	5.74	0.72	5.51	23.10	2.23	0.03	0.75	4.06	2.56	1.65	2.14	23.91	7.86	6.79	2.80	4.24	0.44	0.47	4.11	4.01	0.28	3.34	7.82	2.01	3759	-34.60	0.2367	0.1680
758	0.05	8.00	0.67	13.37	4.27	15.90	68.00	33.50	8.87	6.10	4.60	1.17	1.93	7.67	7.43	1.21	2.76	32.77	4.55	0.04	0.33	0.50	2.04	1.51	3.26	15.64	8.67	9.47	1.98	2.25	0.48	0.50	4.88	4.86	0.50	0.49	8.80	2.06	3823	-35.20	0.2172	0.1532
769	0.77	7.10	0.80	15.80	2.86	11.02	75.00	30.68	5.10	3.84	10.46	0.60	1.70	6.46	6.31	1.24	5.82	30.22	2.31	0.21	1.11	0.72	6.87	1.21	6.87	14.41	10.04	5.21	4.00	6.91	0.30	0.88	5.04	4.90	0.46	5.23	9.81	2.87	3892	-36.13	0.1902	0.1333
782	0.04	9.40	0.15	11.75	4.10	15.90	91.50	49.15	1.00	6.00	2.30	0.95	2.35	10.90	10.67	1.63	5.02	48.40	3.57	0.03	0.00	0.15	0.85	1.50	9.70	0.50	9.15	1.00	5.20	0.10	0.45	1.75	8.80	8.60	1.13	2.73	8.50	3.24	3973	-35.10	0.2203	0.1534
793	0.04	8.80	0.43	11.37	3.93	13.74	79.29	25.84	3.00	3.81	4.01	1.01	1.43	6.27	6.13	0.97	5.19	25.37	2.28	0.02	0.48	0.32	1.39	2.53	4.44	13.98	13.31	3.21	2.79	1.52	0.40	0.76	4.14	4.07	0.57	2.71	13.24	2.18	4041	-35.00	0.2235	0.1546
804	0.08	8.83	0.15	8.25	4.17	16.58	71.00	371.20	3.70	6.15	3.37	1.00	2.37	6.98	6.75	1.63	3.05	370.45	4.41	0.09	1.78	0.23	4.09	2.08	7.74	13.69	398.63	7.58	3.75	1.81	0.45	1.82	4.26	4.23	1.46	0.76	398.56	3.68	4110	-35.52	0.2075	0.1426
816	0.07	9.70	0.55	13.65	5.70	14.00	66.50	18.95	4.00	5.55	3.00	0.90	1.75	10.25	10.04	1.09	2.56	18.30	2.97	0.05	0.10	0.35	0.05	3.20	1.60	1.50	3.05	3.00	1.05	0.60	0.10	0.45	4.95	4.91	0.32	0.20	2.90	0.21	4189	-34.79	0.2303	0.1571
826	0.05	8.73	2.15	11.83	3.22	13.52	86.75	36.22	7.10	4.13	5.55	0.88	1.88	7.42	7.27	1.38	3.77	35.75	2.48	0.03	0.47	1.30	2.22	1.18	3.38	16.32	8.61	5.60	2.09	3.93	0.33	0.48	4.21	4.14	0.43	1.19	8.64	1.36	4249	-34.77	0.2310	0.1567
837	0.20	7.32	0.31	12.40	3.09	16.86	72.00	64.71	1.34	6.64	4.14	1.26	2.11	6.66	6.41	1.32	3.33	63.91	5.06	0.12	0.65	0.29	2.32	1.06	11.84	12.77	62.47	2.58	7.18	2.37	0.48	1.40	4.94	4.76	0.97	1.08	62.61	6.52	4321	-34.67	0.2343	0.1579
849	0.05	6.40	0.00	13.35	1.85	9.15	69.50	28.80	0.00	2.80	3.10	0.75	1.40	5.45	5.34	1.07	3.74	28.50	1.47	0.02	0.50	0.00	1.45	0.45	3.65	10.50	8.90	0.00	1.60	0.40	0.35	0.80	2.75	2.69	0.61	0.84	8.70	0.93	4405	-34.67	0.2343	0.1567
872	0.02	8.87	0.47	12.93	2.41	11.11	65.86	23.99	1.66	4.41	3.11	0.97	1.60	5.56	5.39	1.08	2.87	23.47	3.09	0.00	1.00	0.42	1.70	0.75	2.99	11.59	7.65	2.08	2.50	1.11	0.52	0.82	3.06	3.02	0.70	0.70	7.49	2.28	4552	-36.04	0.1927	0.1271
884	0.06	8.86	0.88	14.90	3.16	9.32	71.20	18.28	2.04	2.90	3.06	0.38	0.78	2.66	2.55	0.44	4.01	17.94	2.33	0.03	0.53	0.29	1.78	0.19	5.64	12.06	4.57	2.27	2.76	1.22	0.16	0.58	1.75	1.66	0.27	1.17	4.32	2.42	4637	-33.81	0.2649	0.1734
890	0.05	8.20	1.55	13.08	3.33	12.17	74.23	23.30	0.87	4.78	4.32	0.82	1.50	5.97	5.79	0.93	2.66	22.72	3.54	0.02	1.58	1.34	1.74	1.11	3.32	19.48	10.35	1.53	1.53	3.24	0.63	0.68	3.52	3.51	0.59	0.68	10.29	1.53	4678	-35.19	0.2175	0.1419
959	0.07	8.81	0.00	11.50	1.53	14.64	70.64	67.94	0.00	6.87	3.22	0.83	1.88	7.38	7.11	1.06	2.21	67.12	5.05	0.04	0.87	0.01	1.98	0.51	4.92	9.73	22.87	0.00	2.79	1.04	0.20	1.00	3.78	3.70	0.71	0.25	22.60	2.13	5149	-34.05	0.2560	0.1600
968	0.10	19.05	1.22	57.50	4.11	9.50	78.30	32.50	0.55	5.12	27.23	0.71	1.73	9.90	9.70	1.12	2.22	31.90	2.58	0.07	3.65	0.76	30.50	0.99	1.10	37.70	4.40	0.31	2.33	20.77	0.34	0.58	7.00	7.09	0.86	0.80	4.70	4.19	5216	-34.76	0.2313	0.1437
978	0.05	10.40	0.04	9.42	1.61	17.58	76.75	28.30	0.05	7.13	3.80	0.78	1.56	5.69	5.42	0.71	2.62	27.45	5.85	0.01	0.96	0.05	1.32	0.42	9.56	11.44	8.64	0.08	4.10	0.24	0.23	0.87	2.78	2.63	0.44	0.82	8.47	3.53	5286	-34.61	0.2363	0.1458
993	0.04	11.78	0.01	10.98	2.68	10.44	72.54	23.88	0.04	4.45	6.68	1.10	1.38	8.25	8.08	0.85	2.82	23.34	2.64	0.01	1.41	0.01	0.91	1.05	4.58	10.32	11.10	0.04	2.46	3.60	0.41	0.57	5.48	5.45	0.49	1.10	11.04	2.38	5395	-34.52	0.2394	0.1463
1004	0.08	12.22	0.05	12.75	2.23	16.55	62.43	47.28	0.05	8.24	3.81	0.83	1.82	5.05	4.73	0.84	2.70	46.28	7.16	0.03	0.72	0.09	1.61	0.17	12.68	13.19	23.87	0.09	7.32	1.39	0.15	0.78	1.43	1.54	0.34	1.30	23.85	7.50	5478	-34.81	0.2297	0.1393
1016	0.07	9.00	0.00	10.02	3.85	8.27	60.73	38.27	0.13	4.40	11.21	0.85	1.70	12.98	12.82	1.18	1.94	37.73	1.25	0.04	0.30	0.00	2.34	2.35	3.70	15.05	4.07	0.18	2.06	10.63	0.31	0.45	9.07	9.00	0.23	0.33	3.82	0.34	5563	-35.96	0.1949	0.1173
1029	0.09	12.12	0.00	13.47	2.22	11.18	59.13	21.33	0.21	6.05	3.89	1.03	1.60	11.35	11.12	0.88	2.27	20.60	3.51	0.07	4.08	0.00	3.30	1.27	7.66	11.15	4.58	0.27	4.86	0.81	0.38	0.87	10.98	10.86	0.47	0.88	4.12	3.83	5655	-35.82	0.1988	0.1186
1043	0.05	12.40	1.49	13.47	3.99	10.45	75.38	18.28	0.64	3.41	9.14	0.75	1.10	6.94	6.82	0.69	4.64	17.88	1.69	0.03	1.11	1.53	5.84	1.10	1.55	16.08	6.44	0.59	1.92	7.96	0.41	0.20	2.95	2.97	0.32	3.14	6.56	2.28	5759	-35.47	0.2090	0.1235
1056	0.12	10.26	0.11	9.63	2.76	9.23	70.77	59.07	0.06	4.35	4.79	0.99	1.18	3.63	3.47	0.67	2.54	58.53	3.52	0.01	0.60	0.15	0.33	0.81	2.80	7.08	5.02	0.04	2.36	1.39	0.24	0.24	1.04	1.07	0.28	0.84	4.90	2.46	5855	-34.49	0.2404	0.1408
1068	0.04	9.41	0.16	9.85	1.70	10.27	72.28	26.08	0.27	5.63	4.78	1.22	1.47	7.32	7.11	0.81	2.03	25.38	3.98	0.01	0.47	0.17	0.72	0.29	4.00	6.48	10.82	0.09	3.05	1.28	0.27	0.83	4.25	4.15	0.55	0.42	10.53	2.34	5946	-34.11	0.2538	0.1474
1081	1.32	8.41	0.01	8.06	1.52	17.17	71.07	66.80	0.00	6.87	4.93	1.07	1.69	6.56	6.30	0.87	2.35	65.97	5.43	0.35	0.58	0.01	3.16	0.47	9.80	13.77	51.13	0.00	2.77	1.78	0.30	0.80	5.30	5.32	0.76	0.38	50.79	3.17	6043	-34.84	0.2287	0.1317
1089	0.06	9.21	0.00	6.34	3.13	14.70	89.30	27.80	0.09	6.99	4.75	0.88	1.33	6.18	5.92	0.50	2.28	26.97	5.59	0.05	0.41	0.00	0.62	2.26	2.77	10.42	7.43	0.11	2.68	2.67	0.22	0.27	4.91	4.81	0.24	0.57	7.53	1.70	6107	-35.81	0.1991	0.1140
1102	0.07	10.84	0.00	9.53	3.40	13.40	76.30	22.60	0.33	5.93	4.56	0.89	1.61	8.83	8.61	0.91	2.44	21.90	3.84	0.06	0.77	0.00	2.22	2.07	3.42	10.41	10.30	0.31	2.12	2.25	0.25	0.35	5.62	5.64	0.28	0.84	10.33	2.80	6209	-34.17	0.2517	0.1427
1111	0.04	8.36	0.01	9.90	1.31	11.50	81.62	37.90	0.01	4.69	4.88	0.75	1.32	5.14	4.96	0.76	2.90	37.32	3.45	0.01	1.50	0.01	1.18	0.26	4.85	19.46	11.99	0.02	1.97	2.65	0.37	0.47	2.51	2.49	0.40	1.62	11.93	1.90	6279	-34.74	0.2320	0.1307
1123	0.06	9.84	0.33	11.32	3.35	10.86	64.46	25.12	0.43	5.42	4.50	1.00	1.76	9.14	8.94	1.12	2.48	24.46	3.35	0.03	0.28	0.54	1.62	1.15	6.61	14.22	11.55	0.39	3.76	2.26	0.47	1.10	6.83	6.76	0.79	1.17	11.27	3.25	6369	-34.57	0.2377	0.1328
1132	0.10	8.79	0.00	11.57	1.31	9.30	64.54	22.30	0.00	3.52	3.84	0.50	1.06	4.27	4.13	0.64	3.06	21.90	2.49	0.06	0.67	0.00	1.26	0.21	1.94	7.83	8.02	0.00	1.42	2.18	0.12	0.38	1.95	1.96	0.36	1.15	8.06	1.61	6443	-34.54	0.2387	0.1325
1144	0.09	8.90	0.09	11.20	2.96	11.63	65.07	33.30	0.11	5.32	4.13	0.70	1.34	5.35	5.15	0.71	2.39	32.65	4.09	0.03	1.07	0.06	1.92	0.55	5.73	17.82	24.09	0.10	3.67	1.67	0.14	0.44	2.58	2.67	0.54	0.52	24.23	4.13	6540	-36.36	0.1841	0.1013
1154	0.12	9.53	0.10	10.41	1.79	11.23	74.61	27.01	0.16	5.35	7.31	1.33	1.84	7.09	6.88	1.20	2.36	26.36	3.71	0.12	1.23	0.10	1.49	0.60	6.95	24.19	19.58	0.09	3.82	7.30	1.06	1.70	8.14	8.10	1.53	0.61	19.41	3.75	6624	-34.67	0.2343	0.1280
1167	0.07	12.77	0.87	10.93	4.16	16.70	71.47	40.37	0.26	3.84	5.70	1.27	2.16	7.70	7.56	1.71	6.50	39.87	2.03	0.04	0.83	0.83	1.32	2.84	9.82	11.91	17.44	0.12	1.91	2.33	0.24	0.56	3.35	3.34	0.59	5.99	17.23	2.06	6727	-33.61	0.2726	0.1475
1178	0.04	9.41	0.10	11.81	2.24	8.48	76.68	25.34	0.39	3.38	4.88	0.76	1.04	5.14	5.02	0.64	2.45	24.94	2.13	0.01	1.16	0.08	2.00	0.65	3.15	17.22	7.26	0.19	0.93	1.22	0.13	0.35	1.80	1.79	0.28	0.34	7.18	0.86	6813	-33.76	0.2668	0.1432
1189	0.04	6.95	0.05	9.19	1.54	13.92	81.78	37.64	0.00	5.60	5.51	1.56	2.12	7.44	7.23	1.45	2.68	36.96	3.94	0.01	0.80	0.10	0.99	0.51	2.89	16.31	13.34	0.00	1.85	3.04	0.60	0.91	4.95	4.96	0.91	0.95	13.41	2.29	6904	-35.81	0.1991	0.1060
1199	0.06	9.13	0.03	8.05	3.42	16.08	101.50	36.28	0.22	6.94	6.33	1.58	2.44	11.43	11.17	1.62	2.62	35.46	4.03	0.02	0.96	0.06	1.33	2.54	1.96	22.82	6.90	0.32	2.35	4.42	0.68	0.65	4.85	4.83	0.64	1.08	7.02	2.37	6984	-35.31	0.2138	0.1129
1210	1.97	10.90	0.00	9.63	1.89	11.11	68.80	51.73	0.02	5.44	4.64	0.97	1.68	7.98	7.77	1.03	2.68	51.09	3.62	1.33	2.51	0.00	2.10	1.36	5.60	10.05	35.97	0.05	3.28	1.45	0.25	0.49	3.19	3.07	0.34	1.33	35.90	2.62	7075	-34.46	0.2414	0.1265
