/* DATA DESCRIPTION:
Citation:	Gkinis, Vasileios; Simonsen, Sebastian B; Buchardt, Susanne L; White, James W C; Vinther, Bo M (2014): Accumulation reconstruction using a DJ model for the NorthGRIP site. PANGAEA, https://doi.org/10.1594/PANGAEA.871564, 
	In supplement to: Gkinis, V et al. (2014): Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years – Glaciological and paleoclimatic implications. Earth and Planetary Science Letters, 405, 132-141, https://doi.org/10.1016/j.epsl.2014.08.022
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: http://www.gfy.ku.dk/~www-glac/ngrip/index_eng.htm)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 22.375 m * MAXIMUM DEPTH, ice/snow: 1635.375 m
Event(s):	NGRIP * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2925.0 m * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Age [ka b2k] (Age) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Annual layer thickness [m] (Ann layer thick) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * COMMENT: The annual layer thickness lambda is based on the GICC05 chronology
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	9681 data points
*/
Depth ice/snow [m]	Age [ka b2k]	Acc rate ice per year [m/a]	Ann layer thick [m]
52.375	0.1827	0.2411	0.2385
52.875	0.1849	0.2400	0.2373
53.375	0.1871	0.2388	0.2361
53.875	0.1893	0.2376	0.2349
54.375	0.1915	0.2365	0.2337
54.875	0.1936	0.2353	0.2325
55.375	0.1958	0.2341	0.2313
55.875	0.1980	0.2330	0.2301
56.375	0.2002	0.2319	0.2290
56.875	0.2024	0.2315	0.2285
57.375	0.2046	0.2311	0.2281
57.875	0.2069	0.2307	0.2276
58.375	0.2091	0.2303	0.2272
58.875	0.2113	0.2298	0.2267
59.375	0.2135	0.2294	0.2263
59.875	0.2158	0.2290	0.2258
60.375	0.2180	0.2286	0.2254
60.875	0.2202	0.2282	0.2249
61.375	0.2225	0.2270	0.2237
61.875	0.2249	0.2259	0.2226
62.375	0.2272	0.2248	0.2214
62.875	0.2295	0.2236	0.2202
63.375	0.2318	0.2225	0.2191
63.875	0.2342	0.2214	0.2179
64.375	0.2365	0.2202	0.2168
64.875	0.2388	0.2191	0.2156
65.375	0.2412	0.2183	0.2148
65.875	0.2435	0.2179	0.2143
66.375	0.2459	0.2174	0.2138
66.875	0.2483	0.2170	0.2133
67.375	0.2506	0.2165	0.2129
67.875	0.2530	0.2161	0.2124
68.375	0.2554	0.2157	0.2119
68.875	0.2577	0.2152	0.2115
69.375	0.2601	0.2148	0.2110
69.875	0.2625	0.2150	0.2112
70.375	0.2648	0.2153	0.2114
70.875	0.2672	0.2155	0.2115
71.375	0.2695	0.2157	0.2117
71.875	0.2719	0.2159	0.2119
72.375	0.2742	0.2162	0.2121
72.875	0.2766	0.2164	0.2122
73.375	0.2789	0.2166	0.2124
73.875	0.2814	0.2159	0.2116
74.375	0.2839	0.2143	0.2101
74.875	0.2864	0.2128	0.2085
75.375	0.2889	0.2112	0.2070
75.875	0.2914	0.2097	0.2054
76.375	0.2939	0.2081	0.2038
76.875	0.2964	0.2065	0.2023
77.375	0.2989	0.2050	0.2007
77.875	0.3013	0.2048	0.2005
78.375	0.3037	0.2058	0.2014
78.875	0.3061	0.2068	0.2023
79.375	0.3086	0.2077	0.2032
79.875	0.3110	0.2087	0.2041
80.375	0.3134	0.2097	0.2050
80.875	0.3158	0.2106	0.2059
81.375	0.3182	0.2116	0.2068
81.875	0.3206	0.2119	0.2071
82.375	0.3232	0.2103	0.2055
82.875	0.3258	0.2087	0.2039
83.375	0.3283	0.2071	0.2023
83.875	0.3309	0.2055	0.2007
84.375	0.3335	0.2039	0.1991
84.875	0.3360	0.2023	0.1975
85.375	0.3386	0.2007	0.1959
85.875	0.3412	0.1999	0.1950
86.375	0.3437	0.1999	0.1950
86.875	0.3463	0.1999	0.1950
87.375	0.3488	0.2000	0.1950
87.875	0.3514	0.2000	0.1950
88.375	0.3540	0.2001	0.1950
88.875	0.3565	0.2001	0.1950
89.375	0.3591	0.2001	0.1950
89.875	0.3617	0.2003	0.1951
90.375	0.3642	0.2006	0.1953
90.875	0.3667	0.2008	0.1955
91.375	0.3693	0.2010	0.1957
91.875	0.3718	0.2013	0.1959
92.375	0.3744	0.2015	0.1961
92.875	0.3769	0.2017	0.1963
93.375	0.3795	0.2020	0.1965
93.875	0.3820	0.2022	0.1966
94.375	0.3845	0.2023	0.1967
94.875	0.3871	0.2025	0.1969
95.375	0.3896	0.2027	0.1970
95.875	0.3921	0.2028	0.1971
96.375	0.3947	0.2030	0.1972
96.875	0.3972	0.2032	0.1974
97.375	0.3997	0.2034	0.1975
97.875	0.4022	0.2035	0.1976
98.375	0.4048	0.2037	0.1977
98.875	0.4073	0.2039	0.1979
99.375	0.4098	0.2041	0.1980
99.875	0.4123	0.2042	0.1981
100.375	0.4148	0.2044	0.1982
100.875	0.4174	0.2046	0.1984
101.375	0.4199	0.2047	0.1985
101.875	0.4224	0.2042	0.1979
102.375	0.4250	0.2037	0.1974
102.875	0.4276	0.2031	0.1968
103.375	0.4302	0.2026	0.1962
103.875	0.4328	0.2020	0.1956
104.375	0.4353	0.2014	0.1950
104.875	0.4379	0.2009	0.1945
105.375	0.4405	0.2004	0.1939
105.875	0.4431	0.2000	0.1935
106.375	0.4457	0.1996	0.1931
106.875	0.4484	0.1993	0.1927
107.375	0.4510	0.1989	0.1924
107.875	0.4536	0.1985	0.1920
108.375	0.4562	0.1982	0.1916
108.875	0.4588	0.1978	0.1912
109.375	0.4615	0.1975	0.1909
109.875	0.4641	0.1973	0.1906
110.375	0.4667	0.1970	0.1903
110.875	0.4694	0.1968	0.1901
111.375	0.4720	0.1966	0.1898
111.875	0.4747	0.1963	0.1895
112.375	0.4773	0.1961	0.1893
112.875	0.4800	0.1959	0.1890
113.375	0.4826	0.1962	0.1893
113.875	0.4852	0.1965	0.1895
114.375	0.4878	0.1968	0.1898
114.875	0.4904	0.1971	0.1900
115.375	0.4931	0.1974	0.1903
115.875	0.4957	0.1977	0.1906
116.375	0.4983	0.1981	0.1908
116.875	0.5009	0.1981	0.1908
117.375	0.5036	0.1975	0.1902
117.875	0.5063	0.1969	0.1896
118.375	0.5090	0.1963	0.1890
118.875	0.5117	0.1957	0.1884
119.375	0.5143	0.1951	0.1878
119.875	0.5170	0.1945	0.1872
120.375	0.5197	0.1940	0.1866
120.875	0.5225	0.1932	0.1858
121.375	0.5252	0.1925	0.1851
121.875	0.5280	0.1917	0.1843
122.375	0.5307	0.1910	0.1835
122.875	0.5335	0.1902	0.1828
123.375	0.5363	0.1895	0.1820
123.875	0.5390	0.1887	0.1813
124.375	0.5416	0.1906	0.1830
124.875	0.5440	0.1938	0.1861
125.375	0.5464	0.1971	0.1892
125.875	0.5488	0.2003	0.1923
126.375	0.5513	0.2036	0.1954
126.875	0.5537	0.2069	0.1984
127.375	0.5561	0.2101	0.2015
127.875	0.5585	0.2134	0.2046
128.375	0.5611	0.2142	0.2054
128.875	0.5638	0.2112	0.2025
129.375	0.5665	0.2082	0.1996
129.875	0.5692	0.2052	0.1967
130.375	0.5719	0.2023	0.1937
130.875	0.5746	0.1993	0.1908
131.375	0.5773	0.1963	0.1879
131.875	0.5800	0.1933	0.1850
132.375	0.5826	0.1943	0.1860
132.875	0.5852	0.1954	0.1869
133.375	0.5878	0.1964	0.1879
133.875	0.5904	0.1975	0.1889
134.375	0.5930	0.1985	0.1899
134.875	0.5956	0.1996	0.1908
135.375	0.5982	0.2007	0.1918
135.875	0.6008	0.2010	0.1921
136.375	0.6035	0.1998	0.1909
136.875	0.6062	0.1986	0.1897
137.375	0.6090	0.1973	0.1885
137.875	0.6117	0.1961	0.1872
138.375	0.6144	0.1948	0.1860
138.875	0.6171	0.1936	0.1848
139.375	0.6199	0.1923	0.1836
139.875	0.6225	0.1931	0.1842
140.375	0.6252	0.1939	0.1849
140.875	0.6278	0.1947	0.1856
141.375	0.6304	0.1955	0.1864
141.875	0.6331	0.1963	0.1871
142.375	0.6357	0.1971	0.1878
142.875	0.6384	0.1979	0.1886
143.375	0.6410	0.1983	0.1889
143.875	0.6437	0.1981	0.1887
144.375	0.6464	0.1980	0.1885
144.875	0.6490	0.1978	0.1883
145.375	0.6517	0.1976	0.1881
145.875	0.6544	0.1975	0.1879
146.375	0.6570	0.1973	0.1877
146.875	0.6597	0.1971	0.1875
147.375	0.6624	0.1973	0.1876
147.875	0.6650	0.1974	0.1878
148.375	0.6677	0.1976	0.1879
148.875	0.6703	0.1978	0.1880
149.375	0.6730	0.1980	0.1881
149.875	0.6756	0.1982	0.1883
150.375	0.6783	0.1983	0.1884
150.875	0.6810	0.1981	0.1882
151.375	0.6837	0.1972	0.1872
151.875	0.6865	0.1962	0.1862
152.375	0.6892	0.1952	0.1853
152.875	0.6920	0.1942	0.1843
153.375	0.6947	0.1933	0.1833
153.875	0.6975	0.1923	0.1824
154.375	0.7003	0.1912	0.1813
154.875	0.7032	0.1895	0.1797
155.375	0.7061	0.1877	0.1780
155.875	0.7091	0.1860	0.1763
156.375	0.7120	0.1843	0.1746
156.875	0.7150	0.1825	0.1729
157.375	0.7179	0.1808	0.1712
157.875	0.7208	0.1801	0.1705
158.375	0.7235	0.1819	0.1722
158.875	0.7263	0.1837	0.1739
159.375	0.7290	0.1856	0.1756
159.875	0.7318	0.1874	0.1773
160.375	0.7345	0.1893	0.1791
160.875	0.7372	0.1911	0.1808
161.375	0.7400	0.1930	0.1825
161.875	0.7426	0.1938	0.1832
162.375	0.7453	0.1945	0.1838
162.875	0.7480	0.1952	0.1845
163.375	0.7506	0.1960	0.1852
163.875	0.7533	0.1967	0.1858
164.375	0.7560	0.1975	0.1865
164.875	0.7586	0.1982	0.1872
165.375	0.7614	0.1977	0.1866
165.875	0.7643	0.1959	0.1848
166.375	0.7671	0.1940	0.1831
166.875	0.7700	0.1922	0.1813
167.375	0.7728	0.1903	0.1795
167.875	0.7757	0.1885	0.1777
168.375	0.7785	0.1866	0.1759
168.875	0.7815	0.1852	0.1745
169.375	0.7844	0.1842	0.1736
169.875	0.7874	0.1832	0.1726
170.375	0.7904	0.1822	0.1716
170.875	0.7933	0.1812	0.1707
171.375	0.7963	0.1802	0.1697
171.875	0.7993	0.1793	0.1687
172.375	0.8021	0.1803	0.1697
172.875	0.8049	0.1820	0.1713
173.375	0.8076	0.1838	0.1729
173.875	0.8104	0.1855	0.1745
174.375	0.8132	0.1873	0.1761
174.875	0.8160	0.1890	0.1777
175.375	0.8188	0.1907	0.1793
175.875	0.8215	0.1917	0.1801
176.375	0.8243	0.1919	0.1803
176.875	0.8270	0.1922	0.1805
177.375	0.8298	0.1924	0.1807
177.875	0.8325	0.1927	0.1809
178.375	0.8353	0.1930	0.1811
178.875	0.8380	0.1932	0.1814
179.375	0.8408	0.1934	0.1814
179.875	0.8436	0.1932	0.1812
180.375	0.8464	0.1930	0.1810
180.875	0.8491	0.1928	0.1808
181.375	0.8519	0.1926	0.1806
181.875	0.8547	0.1925	0.1804
182.375	0.8575	0.1923	0.1802
182.875	0.8602	0.1922	0.1801
183.375	0.8629	0.1931	0.1809
183.875	0.8656	0.1940	0.1817
184.375	0.8683	0.1949	0.1825
184.875	0.8710	0.1958	0.1833
185.375	0.8737	0.1967	0.1841
185.875	0.8764	0.1976	0.1849
186.375	0.8791	0.1985	0.1857
186.875	0.8818	0.1984	0.1856
187.375	0.8845	0.1978	0.1850
187.875	0.8873	0.1972	0.1844
188.375	0.8901	0.1966	0.1837
188.875	0.8928	0.1959	0.1831
189.375	0.8956	0.1953	0.1825
189.875	0.8983	0.1947	0.1819
190.375	0.9010	0.1948	0.1819
190.875	0.9037	0.1960	0.1831
191.375	0.9063	0.1973	0.1842
191.875	0.9089	0.1985	0.1853
192.375	0.9116	0.1998	0.1864
192.875	0.9142	0.2010	0.1875
193.375	0.9168	0.2023	0.1886
193.875	0.9194	0.2035	0.1898
194.375	0.9223	0.2011	0.1875
194.875	0.9253	0.1977	0.1843
195.375	0.9283	0.1943	0.1811
195.875	0.9312	0.1909	0.1779
196.375	0.9342	0.1876	0.1747
196.875	0.9372	0.1842	0.1715
197.375	0.9401	0.1810	0.1685
197.875	0.9431	0.1812	0.1687
198.375	0.9460	0.1815	0.1690
198.875	0.9490	0.1818	0.1692
199.375	0.9519	0.1821	0.1694
199.875	0.9549	0.1824	0.1696
200.375	0.9578	0.1826	0.1698
200.875	0.9607	0.1831	0.1703
201.375	0.9635	0.1843	0.1713
201.875	0.9663	0.1855	0.1724
202.375	0.9692	0.1867	0.1734
202.875	0.9720	0.1878	0.1745
203.375	0.9748	0.1890	0.1755
203.875	0.9776	0.1902	0.1766
204.375	0.9804	0.1912	0.1775
204.875	0.9832	0.1912	0.1775
205.375	0.9861	0.1913	0.1775
205.875	0.9889	0.1913	0.1775
206.375	0.9917	0.1914	0.1775
206.875	0.9945	0.1914	0.1775
207.375	0.9973	0.1914	0.1775
207.875	1.0001	0.1915	0.1775
208.375	1.0029	0.1922	0.1781
208.875	1.0056	0.1928	0.1786
209.375	1.0084	0.1934	0.1792
209.875	1.0112	0.1941	0.1797
210.375	1.0139	0.1947	0.1803
210.875	1.0167	0.1953	0.1808
211.375	1.0194	0.1960	0.1814
211.875	1.0222	0.1960	0.1813
212.375	1.0250	0.1958	0.1811
212.875	1.0278	0.1956	0.1809
213.375	1.0305	0.1954	0.1807
213.875	1.0333	0.1952	0.1805
214.375	1.0361	0.1950	0.1803
214.875	1.0389	0.1949	0.1801
215.375	1.0416	0.1948	0.1800
215.875	1.0444	0.1949	0.1800
216.375	1.0472	0.1949	0.1800
216.875	1.0500	0.1949	0.1800
217.375	1.0528	0.1950	0.1800
217.875	1.0555	0.1950	0.1800
218.375	1.0583	0.1951	0.1800
218.875	1.0611	0.1949	0.1798
219.375	1.0639	0.1943	0.1792
219.875	1.0668	0.1937	0.1786
220.375	1.0696	0.1931	0.1781
220.875	1.0725	0.1926	0.1775
221.375	1.0753	0.1920	0.1769
221.875	1.0782	0.1914	0.1764
222.375	1.0810	0.1913	0.1762
222.875	1.0838	0.1919	0.1767
223.375	1.0865	0.1926	0.1773
223.875	1.0893	0.1932	0.1779
224.375	1.0921	0.1939	0.1784
224.875	1.0949	0.1945	0.1790
225.375	1.0976	0.1951	0.1795
225.875	1.1004	0.1957	0.1800
226.375	1.1032	0.1956	0.1798
226.875	1.1060	0.1955	0.1797
227.375	1.1088	0.1954	0.1796
227.875	1.1116	0.1952	0.1794
228.375	1.1144	0.1951	0.1793
228.875	1.1172	0.1950	0.1791
229.375	1.1200	0.1949	0.1790
229.875	1.1228	0.1951	0.1791
230.375	1.1255	0.1953	0.1793
230.875	1.1283	0.1955	0.1794
231.375	1.1311	0.1957	0.1796
231.875	1.1339	0.1959	0.1797
232.375	1.1366	0.1961	0.1798
232.875	1.1394	0.1963	0.1800
233.375	1.1423	0.1951	0.1788
233.875	1.1453	0.1935	0.1774
234.375	1.1482	0.1920	0.1759
234.875	1.1511	0.1904	0.1744
235.375	1.1541	0.1888	0.1730
235.875	1.1570	0.1873	0.1715
236.375	1.1600	0.1857	0.1700
236.875	1.1628	0.1872	0.1714
237.375	1.1655	0.1888	0.1728
237.875	1.1683	0.1903	0.1742
238.375	1.1711	0.1919	0.1755
238.875	1.1739	0.1935	0.1769
239.375	1.1766	0.1950	0.1783
239.875	1.1794	0.1966	0.1797
240.375	1.1823	0.1955	0.1787
240.875	1.1853	0.1936	0.1769
241.375	1.1883	0.1918	0.1752
241.875	1.1912	0.1900	0.1735
242.375	1.1942	0.1882	0.1718
242.875	1.1972	0.1863	0.1701
243.375	1.2001	0.1847	0.1686
243.875	1.2029	0.1869	0.1705
244.375	1.2056	0.1890	0.1724
244.875	1.2084	0.1911	0.1743
245.375	1.2111	0.1933	0.1763
245.875	1.2138	0.1954	0.1782
246.375	1.2166	0.1976	0.1801
246.875	1.2193	0.1997	0.1820
247.375	1.2221	0.2000	0.1822
247.875	1.2249	0.1997	0.1819
248.375	1.2276	0.1993	0.1815
248.875	1.2304	0.1990	0.1812
249.375	1.2332	0.1987	0.1809
249.875	1.2360	0.1983	0.1805
250.375	1.2388	0.1980	0.1802
250.875	1.2415	0.1979	0.1800
251.375	1.2443	0.1979	0.1800
251.875	1.2471	0.1979	0.1800
252.375	1.2499	0.1980	0.1800
252.875	1.2526	0.1980	0.1800
253.375	1.2554	0.1981	0.1800
253.875	1.2582	0.1981	0.1800
254.375	1.2610	0.1980	0.1798
254.875	1.2638	0.1975	0.1793
255.375	1.2667	0.1970	0.1788
255.875	1.2695	0.1965	0.1783
256.375	1.2723	0.1960	0.1778
256.875	1.2752	0.1955	0.1773
257.375	1.2780	0.1949	0.1769
257.875	1.2808	0.1944	0.1763
258.375	1.2837	0.1938	0.1758
258.875	1.2866	0.1932	0.1752
259.375	1.2895	0.1926	0.1746
259.875	1.2924	0.1920	0.1740
260.375	1.2953	0.1914	0.1734
260.875	1.2982	0.1908	0.1729
261.375	1.3012	0.1902	0.1722
261.875	1.3041	0.1894	0.1715
262.375	1.3071	0.1886	0.1707
262.875	1.3101	0.1878	0.1700
263.375	1.3131	0.1870	0.1692
263.875	1.3161	0.1863	0.1685
264.375	1.3191	0.1855	0.1677
264.875	1.3219	0.1864	0.1686
265.375	1.3247	0.1882	0.1701
265.875	1.3275	0.1899	0.1716
266.375	1.3303	0.1917	0.1732
266.875	1.3331	0.1934	0.1747
267.375	1.3359	0.1952	0.1763
267.875	1.3387	0.1969	0.1778
268.375	1.3416	0.1972	0.1780
268.875	1.3445	0.1963	0.1772
269.375	1.3474	0.1954	0.1763
269.875	1.3503	0.1944	0.1754
270.375	1.3532	0.1935	0.1745
270.875	1.3561	0.1926	0.1737
271.375	1.3590	0.1917	0.1728
271.875	1.3619	0.1913	0.1724
272.375	1.3648	0.1911	0.1723
272.875	1.3677	0.1910	0.1721
273.375	1.3706	0.1909	0.1720
273.875	1.3736	0.1908	0.1718
274.375	1.3765	0.1907	0.1717
274.875	1.3794	0.1906	0.1715
275.375	1.3821	0.1923	0.1730
275.875	1.3848	0.1945	0.1750
276.375	1.3875	0.1967	0.1769
276.875	1.3902	0.1989	0.1789
277.375	1.3929	0.2011	0.1808
277.875	1.3956	0.2033	0.1828
278.375	1.3983	0.2055	0.1847
278.875	1.4010	0.2065	0.1855
279.375	1.4038	0.2050	0.1842
279.875	1.4067	0.2036	0.1828
280.375	1.4095	0.2021	0.1815
280.875	1.4123	0.2007	0.1801
281.375	1.4152	0.1992	0.1788
281.875	1.4180	0.1977	0.1775
282.375	1.4209	0.1962	0.1760
282.875	1.4239	0.1945	0.1745
283.375	1.4269	0.1928	0.1729
283.875	1.4299	0.1911	0.1713
284.375	1.4329	0.1893	0.1697
284.875	1.4359	0.1876	0.1681
285.375	1.4389	0.1859	0.1666
285.875	1.4418	0.1871	0.1676
286.375	1.4445	0.1899	0.1700
286.875	1.4472	0.1926	0.1725
287.375	1.4499	0.1954	0.1749
287.875	1.4526	0.1982	0.1774
288.375	1.4554	0.2010	0.1798
288.875	1.4581	0.2037	0.1823
289.375	1.4608	0.2052	0.1836
289.875	1.4637	0.2036	0.1820
290.375	1.4666	0.2019	0.1805
290.875	1.4695	0.2003	0.1790
291.375	1.4724	0.1986	0.1775
291.875	1.4752	0.1970	0.1760
292.375	1.4781	0.1953	0.1745
292.875	1.4810	0.1945	0.1737
293.375	1.4838	0.1952	0.1743
293.875	1.4866	0.1959	0.1748
294.375	1.4894	0.1965	0.1754
294.875	1.4923	0.1972	0.1760
295.375	1.4951	0.1979	0.1765
295.875	1.4979	0.1986	0.1771
296.375	1.5007	0.1989	0.1773
296.875	1.5036	0.1981	0.1766
297.375	1.5065	0.1973	0.1759
297.875	1.5094	0.1966	0.1751
298.375	1.5123	0.1958	0.1744
298.875	1.5152	0.1950	0.1737
299.375	1.5181	0.1943	0.1730
299.875	1.5210	0.1941	0.1728
300.375	1.5238	0.1952	0.1737
300.875	1.5266	0.1963	0.1746
301.375	1.5294	0.1973	0.1755
301.875	1.5322	0.1984	0.1764
302.375	1.5349	0.1995	0.1774
302.875	1.5377	0.2005	0.1783
303.375	1.5406	0.2011	0.1788
303.875	1.5435	0.1999	0.1776
304.375	1.5464	0.1986	0.1764
304.875	1.5493	0.1973	0.1753
305.375	1.5523	0.1961	0.1741
305.875	1.5552	0.1948	0.1729
306.375	1.5581	0.1935	0.1718
306.875	1.5610	0.1927	0.1710
307.375	1.5639	0.1929	0.1711
307.875	1.5669	0.1930	0.1712
308.375	1.5698	0.1931	0.1712
308.875	1.5727	0.1932	0.1713
309.375	1.5756	0.1934	0.1714
309.875	1.5785	0.1935	0.1715
310.375	1.5814	0.1935	0.1715
310.875	1.5844	0.1935	0.1714
311.375	1.5873	0.1934	0.1713
311.875	1.5902	0.1934	0.1712
312.375	1.5931	0.1934	0.1712
312.875	1.5961	0.1933	0.1711
313.375	1.5990	0.1933	0.1710
313.875	1.6019	0.1934	0.1710
314.375	1.6048	0.1935	0.1711
314.875	1.6077	0.1936	0.1712
315.375	1.6106	0.1937	0.1713
315.875	1.6136	0.1939	0.1713
316.375	1.6165	0.1940	0.1714
316.875	1.6194	0.1941	0.1715
317.375	1.6223	0.1941	0.1714
317.875	1.6252	0.1941	0.1714
318.375	1.6282	0.1940	0.1713
318.875	1.6311	0.1940	0.1712
319.375	1.6340	0.1940	0.1711
319.875	1.6369	0.1939	0.1711
320.375	1.6399	0.1939	0.1710
320.875	1.6428	0.1936	0.1707
321.375	1.6458	0.1933	0.1704
321.875	1.6487	0.1930	0.1701
322.375	1.6517	0.1927	0.1698
322.875	1.6546	0.1924	0.1695
323.375	1.6576	0.1921	0.1692
323.875	1.6606	0.1920	0.1691
324.375	1.6634	0.1926	0.1696
324.875	1.6663	0.1933	0.1701
325.375	1.6692	0.1939	0.1706
325.875	1.6721	0.1945	0.1711
326.375	1.6750	0.1951	0.1716
326.875	1.6779	0.1957	0.1721
327.375	1.6808	0.1964	0.1727
327.875	1.6836	0.1973	0.1734
328.375	1.6865	0.1981	0.1741
328.875	1.6893	0.1990	0.1748
329.375	1.6921	0.1998	0.1755
