/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Summer temperature record from the Agassiz ice cap, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904115, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 80.666670 * LONGITUDE: -73.500000
	MINIMUM ELEVATION: 1730.0 m * MAXIMUM ELEVATION: 1730.0 m
Event(s):	Agassiz_IceCap * LATITUDE: 80.666670 * LONGITUDE: -73.500000 * ELEVATION: 1730.0 m * LOCATION: Ellesmere Island, Canadian Arctic Archipelago (URI: http://en.wikipedia.org/wiki/Ellesmere_island) * METHOD/DEVICE: Ice measurement (ICEM)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Melt fraction [%] (Melt frac) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: June-August
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: , 2 sigma upper, June-August
	Temperature, summer [°C] (T sum) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: , 2 sigma lower, June-August
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2730 data points
*/
Age [ka BP]	Melt frac [%]	Melt frac [%] (2 sigma upper)	Melt frac [%] (2 sigma lower)	T sum [°C] (June-August)	T sum [°C] (, 2 sigma upper, June-August)	T sum [°C] (, 2 sigma lower, June-August)
0.816	0.509	0.517653	0.500347	-7.966021712	-7.474215272	-8.457776147
0.841	1.308	1.330236	1.285764	-7.932906367	-7.438083758	-8.427595337
0.866	8.029	8.165493	7.892507	-7.649379252	-7.129185339	-8.168752842
0.891	1.286	1.307862	1.264138	-7.935177377	-7.440437817	-8.429785546
0.916	8.570	8.715690	8.424310	-7.627843807	-7.105607657	-8.149204360
0.941	2.287	2.325879	2.248121	-7.894190832	-7.395672567	-8.392475434
0.966	3.004	3.055068	2.952932	-7.864542857	-7.363317967	-8.365460828
0.991	5.505	5.598585	5.411415	-7.759458442	-7.248792452	-8.269561986
1.016	4.982	5.081640	4.882360	-7.782182910	-7.272814304	-8.290952679
1.041	2.838	2.894760	2.781240	-7.873417075	-7.372433225	-8.374059798
1.066	10.117	10.319340	9.914660	-7.566199685	-7.036749121	-8.094434185
1.091	1.705	1.739100	1.670900	-7.922476230	-7.425923316	-8.418824203
1.116	1.667	1.700340	1.633660	-7.924658185	-7.428253881	-8.420862115
1.141	4.193	4.276860	4.109140	-7.818421400	-7.312138416	-8.324200386
1.166	6.031	6.151620	5.910380	-7.741276695	-7.227805660	-8.254022804
1.191	3.557	3.628140	3.485860	-7.846464910	-7.342669194	-8.349833074
1.216	0.777	0.792540	0.761460	-7.964592335	-7.471668643	-8.457422631
1.241	4.955	5.054100	4.855900	-7.788500730	-7.279237716	-8.297168153
1.266	2.509	2.559180	2.458820	-7.892504965	-7.392807768	-8.391900580
1.291	2.172	2.215440	2.128560	-7.907330135	-7.408950877	-8.405448318
1.316	1.991	2.030820	1.951180	-7.915558845	-7.417887442	-8.412990930
1.341	1.868	1.905360	1.830640	-7.921335025	-7.424144651	-8.418300866
1.366	3.980	4.059600	3.900400	-7.832604230	-7.327154246	-8.337575818
1.391	3.624	3.696480	3.551520	-7.848232815	-7.344175076	-8.351854949
1.416	0.194	0.197880	0.190120	-7.993845490	-7.503201795	-8.484465866
1.441	0.767	0.782340	0.751660	-7.970191310	-7.477306726	-8.462983700
1.466	2.498	2.547960	2.448040	-7.897571100	-7.397916922	-8.396925019
1.491	4.026	4.106520	3.945480	-7.833534745	-7.327904864	-8.338680701
1.516	7.347	7.493940	7.200060	-7.693762019	-7.175144371	-8.211496557
1.541	2.842	2.898840	2.785160	-7.884957059	-7.383957565	-8.385614944
1.566	7.819	7.975380	7.662620	-7.675205729	-7.154742183	-8.194729430
1.591	1.181	1.204620	1.157380	-7.956594674	-7.462091019	-8.450956372
1.616	0.903	0.921060	0.884940	-7.969051019	-7.475634566	-8.462358930
1.641	2.305	2.351100	2.258900	-7.910468564	-7.411569170	-8.409090897
1.666	0.317	0.323340	0.310660	-7.995232259	-7.504107535	-8.486318879
1.691	1.769	1.804380	1.733620	-7.934535554	-7.437732348	-8.431126125
1.716	1.641	1.673820	1.608180	-7.940649149	-7.444346526	-8.436754523
1.741	1.310	1.336200	1.283800	-7.955346599	-7.460338451	-8.450197285
1.766	3.649	3.721980	3.576020	-7.857143099	-7.352987589	-8.360859998
1.791	2.685	2.738700	2.631300	-7.898606954	-7.398221456	-8.398669715
1.816	2.274	2.319480	2.228520	-7.916687204	-7.417909044	-8.415192028
1.841	0.673	0.686460	0.659540	-7.985086604	-7.492569635	-8.477522677
1.866	17.125	17.467500	16.782500	-7.290114899	-6.733257449	-7.844913924
1.891	3.429	3.497580	3.360420	-7.869951374	-7.366656240	-8.372834341
1.916	0.519	0.529380	0.508620	-7.993701839	-7.501787133	-8.485554160
1.941	1.077	1.098540	1.055460	-7.970807924	-7.476710992	-8.464775400
1.966	0.532	0.542640	0.521360	-7.994554364	-7.502588818	-8.486455963
1.991	3.881	3.958620	3.803380	-7.853643014	-7.348580199	-8.358239332
2.016	1.278	1.316340	1.239660	-7.964344147	-7.468882338	-8.459575532
2.041	10.727	11.048810	10.405190	-7.565388302	-7.028693892	-8.100148634
2.066	2.512	2.587360	2.436640	-7.913354697	-7.412508082	-8.413748398
2.091	1.758	1.810740	1.705260	-7.945832707	-7.448276322	-8.443072124
2.116	2.146	2.210380	2.081620	-7.930021247	-7.430771747	-8.428883823
2.141	2.008	2.068240	1.947760	-7.936451697	-7.437804387	-8.434736964
2.166	3.422	3.524660	3.319340	-7.877255827	-7.372438245	-8.381456422
2.191	4.359	4.489770	4.228230	-7.838229902	-7.329323534	-8.346350342
2.216	0.640	0.659200	0.620800	-7.996082937	-7.503405169	-8.488645313
2.241	0.000	0.000000	0.000000	-8.023740457	-7.533855457	-8.513625457
2.266	0.212	0.218360	0.205640	-8.015371157	-7.524561052	-8.506143038
2.291	1.930	1.987900	1.872100	-7.943320647	-7.445013706	-8.441279609
2.316	5.014	5.164420	4.863580	-7.813508827	-7.301744235	-8.324369394
2.341	0.904	0.931120	0.876880	-7.987895297	-7.494065512	-8.481562090
2.366	5.363	5.523890	5.202110	-7.799941602	-7.286654079	-8.312262176
2.391	0.000	0.000000	0.000000	-8.027311177	-7.537426177	-8.517196177
2.416	5.550	5.716500	5.383500	-7.793224547	-7.279121012	-8.306327417
2.441	0.000	0.000000	0.000000	-8.028501417	-7.538616417	-8.518386417
2.466	5.535	5.701050	5.368950	-7.795049062	-7.281010982	-8.308089181
2.491	7.448	7.671440	7.224560	-7.714752977	-7.192367139	-8.235795940
2.516	0.990	1.019700	0.960300	-7.988476227	-7.494271164	-8.482502793
2.541	2.261	2.328830	2.193170	-7.935407737	-7.435656411	-8.434751404
2.566	0.512	0.527360	0.496640	-8.010039947	-7.517920732	-8.502066848
2.591	7.097	7.309910	6.884090	-7.732268967	-7.211414788	-8.251843557
2.616	2.616	2.694480	2.537520	-7.922423797	-7.421123358	-8.423252571
2.641	6.620	6.818600	6.421400	-7.753790402	-7.235017708	-8.271369510
2.666	1.569	1.616070	1.521930	-7.968047682	-7.471316037	-8.464496436
2.691	0.000	0.000000	0.000000	-8.035068592	-7.545183592	-8.524953592
2.716	0.000	0.000000	0.000000	-8.035744337	-7.545859337	-8.525629337
2.741	4.245	4.372350	4.117650	-7.856920257	-7.348511350	-8.364563790
2.766	7.134	7.348020	6.919980	-7.735434637	-7.214419001	-8.255164012
2.791	4.219	4.345570	4.092430	-7.859371157	-7.351075707	-8.366905921
2.816	3.759	3.871770	3.646230	-7.879498002	-7.373209853	-8.385108402
2.841	4.791	4.934730	4.647270	-7.836535627	-7.325744140	-8.346463296
2.866	6.760	6.962800	6.557200	-7.753952207	-7.234568595	-8.272116991
2.891	21.747	22.399410	21.094590	-7.120902657	-6.536120273	-7.701764057
2.916	26.060	26.841800	25.278200	-6.939203197	-6.335600175	-7.538107601
2.941	0.742	0.764260	0.719740	-8.010450572	-7.517327706	-8.503439655
2.966	0.313	0.322390	0.303610	-8.029266582	-7.538015744	-8.520460986
2.991	1.845	1.900350	1.789650	-7.965161707	-7.467225680	-8.462765080
3.016	0.950	0.972800	0.927200	-8.003638220	-7.509865858	-8.497273554
3.041	3.428	3.510272	3.345728	-7.899462505	-7.395550266	-8.402880289
3.066	0.000	0.000000	0.000000	-8.045022000	-7.555137000	-8.534907000
3.091	3.195	3.271680	3.118320	-7.910527940	-7.407569127	-8.413025905
3.116	2.908	2.977792	2.838208	-7.923270250	-7.421485830	-8.424635219
3.141	2.285	2.339840	2.230160	-7.950220320	-7.450985191	-8.449125860
3.166	6.911	7.076864	6.745136	-7.755216425	-7.237051889	-8.272384118
3.191	6.726	6.887424	6.564576	-7.763645665	-7.246238142	-8.280083029
3.216	2.701	2.765824	2.636176	-7.934449305	-7.433511921	-8.434997096
3.241	1.404	1.437696	1.370304	-7.989899465	-7.494269353	-8.485327063
3.266	3.146	3.221504	3.070496	-7.916845510	-7.414087203	-8.419150037
3.291	9.095	9.313280	8.876720	-7.665898560	-7.138797183	-8.191688073
3.316	15.532	15.904768	15.159232	-7.394316530	-6.840875207	-7.945517517
3.341	3.931	4.025344	3.836656	-7.885471330	-7.379500835	-8.390874817
3.366	2.893	2.962432	2.823568	-7.929969675	-7.428246634	-8.431275429
3.391	0.000	0.000000	0.000000	-8.052906695	-7.563021695	-8.542791695
3.416	0.000	0.000000	0.000000	-8.053513210	-7.563628210	-8.543398210
3.441	3.375	3.456000	3.294000	-7.911407850	-7.407712485	-8.414616405
3.466	3.049	3.122176	2.975824	-7.925799275	-7.423437889	-8.427720873
3.491	0.000	0.000000	0.000000	-8.055332755	-7.565447755	-8.545217755
3.516	1.179	1.207296	1.150704	-8.006186803	-7.511477383	-8.500726165
3.541	6.315	6.466560	6.163440	-7.789776228	-7.274050501	-8.304591080
3.566	7.986	8.177664	7.794336	-7.719883178	-7.197319786	-8.241294670
3.591	2.814	2.881536	2.746464	-7.939346383	-7.437946608	-8.440340267
3.616	6.497	6.652928	6.341072	-7.784375913	-7.267905449	-8.299909250
3.641	2.003	2.051072	1.954928	-7.975169888	-7.477088693	-8.472962172
3.666	0.825	0.844800	0.805200	-8.025746803	-7.532485936	-8.518888672
3.691	0.000	0.000000	0.000000	-8.061397113	-7.571512113	-8.551282113
3.716	4.658	4.769792	4.546208	-7.865198768	-7.356253419	-8.373472248
3.741	5.979	6.122496	5.835504	-7.810105468	-7.295754640	-8.323593886
3.766	2.148	2.199552	2.096448	-7.972864488	-7.474189958	-8.471229191
3.791	0.000	0.000000	0.000000	-8.064457853	-7.574572853	-8.554342853
3.816	6.128	6.275072	5.980928	-7.806100558	-7.291140028	-8.320177187
3.841	1.320	1.351680	1.288320	-8.010172023	-7.514885636	-8.505268014
3.866	0.867	0.887808	0.846192	-8.030092313	-7.536659584	-8.523399987
3.891	4.896	5.013504	4.778496	-7.860491233	-7.350571997	-8.369704271
3.916	0.000	0.000000	0.000000	-8.068283778	-7.578398778	-8.558168778
3.941	0.000	0.000000	0.000000	-8.069048963	-7.579163963	-8.558933963
3.966	1.375	1.408000	1.342000	-8.011672273	-7.516160828	-8.506985388
3.991	0.935	0.957440	0.912560	-8.031042858	-7.537331876	-8.524618977
4.016	0.246	0.257808	0.234192	-8.061029096	-7.569870082	-8.552117145
4.041	0.000	0.000000	0.000000	-8.072331841	-7.582446841	-8.562216841
4.066	2.063	2.162024	1.963976	-7.985998521	-7.485429409	-8.485972499
4.091	2.006	2.102288	1.909712	-7.989309401	-7.489035488	-8.489004624
4.116	8.930	9.358640	8.501360	-7.697428696	-7.161295941	-8.230985326
4.141	4.570	4.789360	4.350640	-7.882691931	-7.369139267	-8.394926242
4.166	34.786	36.455728	33.116272	-6.605909006	-5.935870095	-7.265912852
4.191	8.854	9.278992	8.429008	-7.703344261	-7.167605104	-8.236529217
4.216	10.440	10.941120	9.938880	-7.637180886	-7.093227962	-8.178122080
4.241	1.174	1.230352	1.117648	-8.029894331	-7.533929279	-8.525520708
4.266	1.793	1.879064	1.706936	-8.004620551	-7.505449748	-8.503274110
4.291	8.824	9.247552	8.400448	-7.708215351	-7.172631561	-8.241253594
4.316	2.279	2.388392	2.169608	-7.985871311	-7.484183553	-8.486901624
4.341	6.949	7.282552	6.615448	-7.789300996	-7.263427681	-8.313169664
4.366	0.623	0.652904	0.593096	-8.057696541	-7.564585074	-8.550628286
4.391	0.000	0.000000	0.000000	-8.084940731	-7.595055731	-8.574825731
4.416	8.231	8.626088	7.835912	-7.737793531	-7.205280841	-8.267931743
4.441	1.243	1.302664	1.183336	-8.034181746	-7.537859349	-8.530145563
4.466	5.466	5.728368	5.203632	-7.856512826	-7.338319850	-8.373128971
4.491	14.461	15.155128	13.766872	-7.477059886	-6.912282524	-8.037665539
4.516	7.297	7.647256	6.946744	-7.781047263	-7.253371684	-8.306617804
4.541	3.202	3.355696	3.048304	-7.955350288	-7.448882386	-8.460894477
4.566	5.407	5.666536	5.147464	-7.863257813	-7.345370393	-8.379585422
4.591	4.453	4.666744	4.239256	-7.904743653	-7.391796922	-8.416405782
4.616	3.647	3.822056	3.471944	-7.939971313	-7.431198792	-8.447691748
4.641	5.318	5.573264	5.062736	-7.870459028	-7.353032531	-8.386351388
4.666	3.372	3.533856	3.210144	-7.953891588	-7.446543270	-8.460267152
4.691	11.242	11.781616	10.702384	-7.622254588	-7.074148169	-8.167117914
4.716	10.263	10.755624	9.770376	-7.664797553	-7.121761297	-8.204873139
4.741	8.506	8.914288	8.097712	-7.740238248	-7.206301354	-8.271721331
4.766	17.376	18.210048	16.541952	-7.366316248	-6.786442334	-7.941177533
4.791	0.000	0.000000	0.000000	-8.102206358	-7.612321358	-8.592091358
4.816	14.166	14.845968	13.486032	-7.504342998	-6.941093417	-8.063505971
4.841	20.094	21.058512	19.129488	-7.254823468	-6.660873250	-7.842976969
4.866	5.516	5.780768	5.251232	-7.872400148	-7.353948225	-8.389260815
4.891	1.799	1.885352	1.712648	-8.030719443	-7.531517566	-8.529402345
4.916	4.929	5.165592	4.692408	-7.899513343	-7.384101446	-8.413503322
4.941	2.180	2.284640	2.075360	-8.016900758	-7.515725712	-8.517446917
4.966	2.884	3.022432	2.745568	-7.988278068	-7.483457063	-8.492267097
4.991	3.154	3.305392	3.002608	-7.978007068	-7.471787754	-8.483316516
5.016	5.967	6.217614	5.716386	-7.860238337	-7.341072194	-8.377898290
5.041	4.768	4.968256	4.567744	-7.912135602	-7.398853168	-8.424214498
5.066	9.549	9.950058	9.147942	-7.711168567	-7.174424905	-8.245501870
5.091	6.501	6.774042	6.227958	-7.841250797	-7.319464220	-8.361396392
5.116	6.853	7.140826	6.565174	-7.827564027	-7.304050122	-8.349348097
5.141	6.444	6.714648	6.173352	-7.846056142	-7.324549274	-8.365936415
5.166	7.661	7.982762	7.339238	-7.795792847	-7.268313941	-8.321337963
5.191	6.133	6.390586	5.875414	-7.861601877	-7.341621142	-8.380034520
5.216	5.766	6.008172	5.523828	-7.878318022	-7.360138222	-8.395042368
5.241	4.142	4.315964	3.968036	-7.948186412	-7.437975872	-8.457351428
5.266	5.388	5.614296	5.161704	-7.896696852	-7.380371966	-8.411661699
5.291	20.899	21.776758	20.021242	-7.242011767	-6.649571612	-7.829176596
5.316	5.493	5.723706	5.262294	-7.894652027	-7.377811887	-8.410105624
5.341	3.635	3.787670	3.482330	-7.974415107	-7.466692508	-8.481220160
5.366	1.368	1.425456	1.310544	-8.071472752	-7.574874730	-8.567725464
5.391	3.631	3.783502	3.478498	-7.976979347	-7.469276376	-8.483765781
5.416	2.349	2.447658	2.250342	-8.032386267	-7.530974301	-8.533205298
5.441	6.919	7.209598	6.628402	-7.840341367	-7.316503589	-8.362432651
5.466	0.000	0.000000	0.000000	-8.134108832	-7.644223832	-8.623993832
5.491	0.000	0.000000	0.000000	-8.135306382	-7.645421382	-8.625191382
5.516	10.308	10.740936	9.875064	-7.700834901	-7.160366689	-8.238701167
5.541	1.913	1.993346	1.832654	-8.057334946	-7.558062510	-8.556124502
5.566	0.963	1.003446	0.922554	-8.099023166	-7.604412551	-8.593390700
5.591	8.184	8.527728	7.840272	-7.795200651	-7.265155290	-8.323180207
5.616	1.229	1.280618	1.177382	-8.090810296	-7.594894372	-8.586415996
5.641	9.754	10.163668	9.344332	-7.731848141	-7.194098507	-8.267135670
5.666	5.895	6.142590	5.647410	-7.896543426	-7.377730600	-8.413868236
5.691	31.327	32.642734	30.011266	-6.822668776	-6.179056548	-7.458373442
5.716	0.972	1.012824	0.931176	-8.107747421	-7.613092642	-8.602156848
5.741	1.998	2.081916	1.914084	-8.065880481	-7.566190935	-8.565065691
5.766	2.951	3.074942	2.827058	-8.027100346	-7.522734258	-8.530721543
5.791	4.446	4.632732	4.259268	-7.965401741	-7.453699419	-8.475981804
5.816	5.452	5.680984	5.223016	-7.924380501	-7.407741555	-8.439643252
5.841	3.001	3.127042	2.874958	-8.029538506	-7.524927059	-8.533392441
5.866	1.023	1.065966	0.980034	-8.114695706	-7.619790661	-8.609342525
5.891	9.329	9.720818	8.937182	-7.764993966	-7.229329884	-8.298303222
5.916	15.103	15.737326	14.468674	-7.522357846	-6.958359706	-8.082543686
5.941	2.044	2.129848	1.958152	-8.076075131	-7.576159855	-8.575474460
5.966	19.830	20.662860	18.997140	-7.325511591	-6.738317211	-7.907700482
5.991	2.568	2.675856	2.460144	-8.056952731	-7.554466093	-8.558791154
6.016	19.126	20.216182	18.035818	-7.358652979	-6.761920006	-7.948833958
6.041	4.268	4.511276	4.024724	-7.988968804	-7.475240494	-8.501235025
6.066	6.474	6.843018	6.104982	-7.897733389	-7.371681194	-8.421567786
6.091	5.634	5.955138	5.312862	-7.935298084	-7.413938574	-8.454727554
6.116	0.000	0.000000	0.000000	-8.175577069	-7.685692069	-8.665462069
6.141	7.465	7.890505	7.039495	-7.861964839	-7.330376392	-8.390996000
6.166	22.019	23.274083	20.763917	-7.248594244	-6.635699440	-7.853945999
6.191	19.210	20.304970	18.115030	-7.369418104	-6.772215862	-7.960039575
6.216	0.000	0.000000	0.000000	-8.183758249	-7.693873249	-8.673643249
6.241	1.104	1.166928	1.041072	-8.139120904	-7.643068375	-8.634795236
6.266	10.949	11.573093	10.324907	-7.724870374	-7.173818457	-8.272171492
6.291	11.559	12.217863	10.900137	-7.701121819	-7.146662119	-8.251621752
6.316	2.208	2.333856	2.082144	-8.098574149	-7.596354091	-8.600037812
6.341	0.000	0.000000	0.000000	-8.193984724	-7.704099724	-8.683869724
6.366	3.913	4.136041	3.689959	-8.030568814	-7.518823722	-8.540973429
6.391	0.000	0.000000	0.000000	-8.198075314	-7.708190314	-8.687960314
6.416	0.000	0.000000	0.000000	-8.200120609	-7.710235609	-8.690005609
6.441	7.159	7.567063	6.750937	-7.899447589	-7.369568621	-8.426874098
6.466	7.867	8.315419	7.418581	-7.871555104	-7.337720872	-8.402694337
6.491	16.460	17.398220	15.521780	-7.510245394	-6.928406110	-8.086445975
6.516	20.240	21.393680	19.086320	-7.351232739	-6.748276372	-7.947255490
6.541	15.211	16.078027	14.343973	-7.564022034	-6.989160326	-8.133672910
6.566	2.918	3.084326	2.751674	-8.083969569	-7.577783075	-8.589156444
6.591	12.861	13.594077	12.127923	-7.663667844	-7.101934482	-8.220995414
6.616	3.005	3.176285	2.833715	-8.080566834	-7.573894312	-8.586209934
6.641	21.060	22.260420	19.859580	-7.317249189	-6.709711867	-7.917571987
6.666	2.391	2.527287	2.254713	-8.106805884	-7.603563491	-8.609229193
6.691	11.059	11.689363	10.428637	-7.740417534	-7.188751099	-8.288295488
6.716	10.320	10.908240	9.731760	-7.771804179	-7.224266190	-8.315806846
6.741	3.676	3.885532	3.466468	-8.052883749	-7.542462665	-8.562045546
6.766	3.069	3.243933	2.894067	-8.078688774	-7.571658714	-8.584667487
6.791	14.532	15.360324	13.703676	-7.594113849	-7.023045395	-8.160204076
6.816	28.732	30.369724	27.094276	-6.993804879	-6.343407699	-7.634359338
6.841	2.462	2.602334	2.321666	-8.104769859	-7.601130822	-8.607565489
6.866	8.201	8.668457	7.733543	-7.862234274	-7.326534142	-8.395124990
6.891	5.108	5.399156	4.816844	-7.993159809	-7.474738814	-8.509830957
6.916	2.500	2.642500	2.357500	-8.103577119	-7.599725794	-8.606572019
6.941	9.481	10.021417	8.940583	-7.808523564	-7.265672673	-8.348126549
6.966	10.557	11.158749	9.955251	-7.763162934	-7.214300937	-8.308408420
6.991	12.707	13.431299	11.982701	-7.672388214	-7.111515177	-8.228908214
7.016	6.460	6.841140	6.078860	-7.936293983	-7.409734853	-8.460562462
7.041	22.230	23.541570	20.918430	-7.268993413	-6.652906258	-7.877198033
7.066	3.096	3.278664	2.913336	-8.077608483	-7.570147151	-8.583972005
7.091	8.943	9.470637	8.415363	-7.829901968	-7.289246573	-8.367386265
7.116	14.359	15.206181	13.511819	-7.600420288	-7.029017666	-8.166731353
7.141	22.334	23.651706	21.016294	-7.262731293	-6.646053718	-7.871489455
7.166	21.921	23.214339	20.627661	-7.279728878	-6.665395950	-7.886288839
7.191	27.557	29.182863	25.931137	-7.040944498	-6.394615378	-7.677502182
7.216	15.143	16.036437	14.249563	-7.565404368	-6.989550891	-8.135888289
7.241	13.295	14.079405	12.510595	-7.643080928	-7.077718751	-8.203728832
7.266	5.440	5.760960	5.119040	-7.974763483	-7.453995005	-8.493602992
7.291	13.867	14.685153	13.048847	-7.617961668	-7.049352184	-8.181654053
7.316	13.562	14.362158	12.761842	-7.630392473	-7.063514507	-8.192461489
7.341	16.785	17.775315	15.794685	-7.493641798	-6.908466507	-8.072865296
7.366	20.576	21.789984	19.362016	-7.332873243	-6.726176028	-7.932274415
7.391	0.500	0.529500	0.470500	-8.181320783	-7.688597228	-8.673867043
7.416	9.128	9.666552	8.589448	-7.816019683	-7.274314023	-8.354488646
7.441	3.668	3.884412	3.451588	-8.046429663	-7.535721024	-8.555837667
7.466	0.500	0.529500	0.470500	-8.179922423	-7.687198868	-8.672468683
