/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Oxygen isotope ratio and reconstructed temperature record from the Agassiz ice cap, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904113, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 80.666670 * LONGITUDE: -73.500000
	MINIMUM ELEVATION: 1730.0 m * MAXIMUM ELEVATION: 1730.0 m
Event(s):	Agassiz_IceCap * LATITUDE: 80.666670 * LONGITUDE: -73.500000 * ELEVATION: 1730.0 m * LOCATION: Ellesmere Island, Canadian Arctic Archipelago (URI: http://en.wikipedia.org/wiki/Ellesmere_island) * METHOD/DEVICE: Ice measurement (ICEM)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Temperature, air, annual mean [°C] (MAAT) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: Agassiz alt cor
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: filter
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: upper corrected
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: lower corrected
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3848 data points
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	MAAT [°C]	MAAT [°C] (2 sigma upper)	MAAT [°C] (2 sigma lower)	δ18O H2O [‰ SMOW] (Agassiz alt cor)	δ18O H2O [‰ SMOW] (filter)	δ18O H2O [‰ SMOW] (upper corrected)	δ18O H2O [‰ SMOW] (lower corrected)
0.725	-27.818	0.472	1.227	-0.239	-27.835670	-27.892070	-27.527302	-28.186181
0.750	-28.128	-0.180	0.512	-0.829	-28.146375	-27.868275	-27.838179	-28.496727
0.775	-27.829	0.446	1.197	-0.262	-27.848081	-27.844481	-27.540056	-28.198273
0.800	-27.761	0.588	1.352	-0.133	-27.780786	-27.825886	-27.472934	-28.130820
0.825	-27.543	1.044	1.851	0.280	-27.563491	-27.817091	-27.255811	-27.913366
0.850	-27.459	1.219	2.042	0.438	-27.480197	-27.819097	-27.172688	-27.829912
0.875	-27.903	0.285	1.019	-0.406	-27.924902	-27.828302	-27.617565	-28.274459
0.900	-27.899	0.292	1.026	-0.400	-27.921608	-27.836708	-27.614442	-28.271005
0.925	-28.207	-0.356	0.316	-0.986	-28.230313	-27.835413	-27.923319	-28.579551
0.950	-27.918	0.249	0.979	-0.438	-27.942018	-27.817818	-27.635197	-28.291098
0.975	-27.733	0.636	1.402	-0.087	-27.757724	-27.782324	-27.451074	-28.106644
1.000	-27.637	0.836	1.621	0.094	-27.662429	-27.732429	-27.355951	-28.011190
1.025	-27.953	0.171	0.892	-0.508	-27.979267	-27.675467	-27.672989	-28.327841
1.050	-27.234	1.679	2.543	0.857	-27.261104	-27.619704	-26.955028	-27.609492
1.075	-27.529	1.058	1.862	0.295	-27.556941	-27.572941	-27.251066	-27.905143
1.100	-27.513	1.090	1.896	0.325	-27.541779	-27.540979	-27.236104	-27.889795
1.125	-27.254	1.632	2.490	0.815	-27.283616	-27.525916	-26.978143	-27.631446
1.150	-27.344	1.441	2.280	0.643	-27.374453	-27.526253	-27.069181	-27.722097
1.175	-27.412	1.296	2.122	0.513	-27.443290	-27.536990	-27.138220	-27.790748
1.200	-27.733	0.621	1.381	-0.098	-27.765128	-27.551928	-27.460258	-28.112399
1.225	-27.751	0.581	1.337	-0.134	-27.783965	-27.566765	-27.479296	-28.131050
1.250	-27.693	0.701	1.468	-0.025	-27.726802	-27.580802	-27.422335	-28.073701
1.275	-27.295	1.535	2.381	0.730	-27.329640	-27.597040	-27.025373	-27.676352
1.300	-27.305	1.512	2.356	0.710	-27.340477	-27.619277	-27.036411	-27.687003
1.325	-27.490	1.122	1.928	0.357	-27.526314	-27.649214	-27.222450	-27.872654
1.350	-27.773	0.526	1.275	-0.182	-27.810152	-27.684052	-27.506488	-28.156305
1.375	-27.860	0.342	1.072	-0.348	-27.897989	-27.717189	-27.594527	-28.243956
1.400	-27.733	0.607	1.362	-0.108	-27.771826	-27.740926	-27.468565	-28.117607
1.425	-27.893	0.269	0.991	-0.413	-27.932664	-27.748564	-27.629603	-28.278258
1.450	-27.635	0.809	1.582	0.075	-27.675501	-27.736301	-27.372642	-28.020909
1.475	-27.988	0.066	0.768	-0.596	-28.029338	-27.704338	-27.726680	-28.374560
1.500	-27.628	0.820	1.594	0.086	-27.670175	-27.656275	-27.367718	-28.015212
1.525	-27.613	0.850	1.625	0.113	-27.656132	-27.599032	-27.353902	-28.000958
1.550	-27.433	1.226	2.037	0.454	-27.477089	-27.540089	-27.175085	-27.821704
1.575	-27.184	1.746	2.607	0.926	-27.229045	-27.486245	-26.927268	-27.573451
1.600	-27.181	1.751	2.611	0.930	-27.227002	-27.442002	-26.925452	-27.571197
1.625	-27.619	0.829	1.601	0.096	-27.665958	-27.409158	-27.364635	-28.009943
1.650	-27.374	1.341	2.162	0.560	-27.421915	-27.388015	-27.120818	-27.765690
1.675	-27.076	1.965	2.844	1.125	-27.124871	-27.378571	-26.824002	-27.468436
1.700	-27.338	1.413	2.239	0.626	-27.387828	-27.381428	-27.087185	-27.731182
1.725	-27.324	1.440	2.268	0.651	-27.374784	-27.397584	-27.074368	-27.717929
1.750	-27.207	1.684	2.535	0.872	-27.258741	-27.427141	-26.958552	-27.601675
1.775	-27.227	1.640	2.486	0.833	-27.279697	-27.468497	-26.979735	-27.622421
1.800	-27.571	0.916	1.692	0.178	-27.624654	-27.517554	-27.324918	-27.967168
1.825	-27.745	0.548	1.289	-0.154	-27.799610	-27.568310	-27.500102	-28.141914
1.850	-27.318	1.443	2.269	0.655	-27.373567	-27.613467	-27.074285	-27.715660
1.875	-27.840	0.345	1.065	-0.338	-27.896523	-27.645123	-27.597468	-28.238407
1.900	-27.336	1.401	2.222	0.618	-27.393480	-27.656580	-27.094652	-27.735153
1.925	-28.295	-0.615	0.013	-1.205	-28.353436	-27.644936	-28.054835	-28.694899
1.950	-27.916	0.179	0.882	-0.486	-27.975393	-27.613093	-27.677018	-28.316646
1.975	-27.365	1.334	2.147	0.559	-27.425349	-27.570949	-27.127202	-27.766392
2.000	-26.962	2.178	3.071	1.323	-27.023306	-27.532306	-26.725385	-27.364139
2.025	-27.180	1.718	2.566	0.907	-27.242379	-27.510679	-26.944708	-27.582980
2.050	-27.430	1.190	1.988	0.430	-27.493452	-27.513752	-27.196032	-27.833822
2.075	-27.433	1.181	1.977	0.423	-27.497526	-27.541026	-27.200355	-27.837663
2.100	-27.235	1.595	2.429	0.797	-27.300599	-27.583599	-27.003679	-27.640505
2.125	-27.730	0.553	1.288	-0.145	-27.796672	-27.626572	-27.500002	-28.136347
2.150	-27.671	0.674	1.420	-0.035	-27.738746	-27.653346	-27.442325	-28.078188
2.175	-28.103	-0.236	0.423	-0.858	-28.171819	-27.650719	-27.875649	-28.511030
2.200	-28.086	-0.203	0.458	-0.828	-28.155893	-27.613193	-27.859972	-28.494872
2.225	-27.404	1.227	2.024	0.466	-27.474966	-27.545466	-27.179296	-27.813713
2.250	-27.298	1.447	2.264	0.666	-27.370039	-27.460439	-27.074619	-27.708555
2.275	-27.157	1.740	2.585	0.932	-27.230113	-27.375513	-26.934942	-27.568397
2.300	-26.855	2.372	3.276	1.504	-26.929186	-27.306986	-26.634266	-27.267238
2.325	-27.041	1.979	2.845	1.148	-27.116259	-27.266259	-26.821589	-27.454080
2.350	-27.096	1.861	2.715	1.042	-27.172333	-27.258033	-26.877913	-27.509921
2.375	-27.129	1.789	2.636	0.977	-27.206406	-27.280506	-26.912236	-27.543763
2.400	-26.991	2.076	2.950	1.238	-27.069480	-27.327380	-26.775559	-27.406605
2.425	-27.247	1.536	2.357	0.749	-27.326553	-27.388053	-27.032883	-27.663446
2.450	-27.526	0.947	1.712	0.217	-27.606626	-27.450426	-27.313206	-27.943288
2.475	-27.599	0.791	1.541	0.077	-27.680700	-27.501900	-27.387530	-28.017130
2.500	-27.538	0.917	1.678	0.191	-27.620773	-27.532673	-27.327853	-27.956971
2.525	-27.820	0.322	1.025	-0.347	-27.903927	-27.538227	-27.611281	-28.239871
2.550	-27.605	0.770	1.516	0.059	-27.690081	-27.520481	-27.397710	-28.025771
2.575	-27.683	0.604	1.333	-0.091	-27.769235	-27.486335	-27.477138	-28.104671
2.600	-26.567	2.945	3.896	2.027	-26.654389	-27.444189	-26.362566	-26.989570
2.625	-27.179	1.657	2.485	0.863	-27.267543	-27.400343	-26.975995	-27.602470
2.650	-27.591	0.789	1.534	0.078	-27.680697	-27.356997	-27.389423	-28.015370
2.675	-27.672	0.616	1.344	-0.078	-27.762851	-27.313951	-27.471852	-28.097269
2.700	-26.922	2.188	3.065	1.345	-27.014005	-27.271205	-26.723280	-27.348169
2.725	-27.131	1.746	2.581	0.946	-27.224159	-27.230759	-26.933708	-27.558069
2.750	-26.754	2.535	3.444	1.660	-26.848313	-27.196313	-26.558137	-27.181969
2.775	-27.100	1.806	2.645	1.001	-27.195467	-27.171267	-26.905565	-27.528869
2.800	-27.157	1.683	2.510	0.890	-27.253621	-27.157621	-26.963994	-27.586768
2.825	-27.013	1.983	2.838	1.162	-27.110775	-27.154975	-26.821422	-27.443668
2.850	-27.112	1.772	2.606	0.972	-27.210929	-27.160429	-26.921850	-27.543568
2.875	-26.533	2.986	3.934	2.070	-26.633083	-27.168883	-26.344279	-26.965467
2.900	-27.383	1.198	1.976	0.453	-27.484237	-27.173737	-27.195707	-27.816367
2.925	-27.336	1.294	2.080	0.540	-27.438391	-27.168991	-27.150135	-27.770267
2.950	-27.301	1.365	2.157	0.604	-27.404545	-27.151845	-27.116564	-27.736167
2.975	-27.105	1.773	2.604	0.975	-27.209699	-27.125299	-26.921992	-27.541066
3.000	-26.925	2.148	3.014	1.315	-27.030853	-27.097753	-26.743420	-27.361966
3.025	-26.485	3.070	4.022	2.149	-26.592113	-27.080013	-26.304981	-26.922949
3.050	-26.769	2.470	3.365	1.607	-26.877374	-27.079874	-26.590541	-27.207933
3.075	-26.984	2.016	2.867	1.196	-27.093635	-27.099735	-26.807101	-27.423916
3.100	-27.062	1.849	2.683	1.046	-27.172896	-27.135396	-26.886662	-27.502899
3.125	-26.999	1.978	2.824	1.163	-27.111156	-27.177756	-26.825222	-27.440882
3.150	-27.341	1.257	2.034	0.511	-27.454417	-27.216617	-27.168782	-27.783866
3.175	-27.000	1.970	2.814	1.157	-27.114678	-27.243278	-26.829343	-27.443849
3.200	-27.524	0.867	1.605	0.159	-27.639939	-27.253739	-27.354903	-27.968832
3.225	-27.310	1.313	2.093	0.564	-27.427200	-27.249400	-27.142463	-27.755815
3.250	-27.171	1.602	2.409	0.826	-27.289460	-27.237260	-27.005024	-27.617799
3.275	-26.869	2.233	3.099	1.397	-26.988721	-27.226821	-26.704584	-27.316782
3.300	-26.484	3.039	3.981	2.126	-26.604982	-27.226682	-26.321144	-26.932765
3.325	-27.397	1.118	1.877	0.390	-27.519243	-27.241943	-27.235705	-27.846748
3.350	-27.165	1.603	2.407	0.828	-27.288503	-27.273403	-27.005265	-27.615732
3.375	-27.240	1.442	2.230	0.684	-27.364764	-27.317864	-27.081825	-27.691715
3.400	-27.108	1.716	2.530	0.932	-27.234025	-27.369525	-26.951386	-27.560698
3.425	-27.154	1.617	2.420	0.843	-27.281286	-27.420586	-26.998946	-27.607681
3.450	-27.128	1.668	2.476	0.890	-27.256546	-27.461846	-26.974506	-27.582664
3.475	-28.021	-0.210	0.418	-0.809	-28.150807	-27.484707	-27.869067	-28.476648
3.500	-27.788	0.276	0.950	-0.369	-27.919068	-27.485268	-27.637627	-28.244631
3.525	-27.436	1.012	1.755	0.298	-27.568483	-27.466783	-27.287372	-27.893741
3.550	-27.057	1.805	2.622	1.015	-27.190899	-27.439099	-26.910116	-27.515852
3.575	-26.923	2.083	2.926	1.268	-27.058314	-27.414814	-26.777861	-27.382962
3.600	-27.049	1.815	2.632	1.026	-27.185730	-27.403830	-26.905605	-27.510072
3.625	-27.108	1.688	2.492	0.911	-27.246145	-27.408845	-26.966350	-27.570183
3.650	-27.548	0.760	1.476	0.073	-27.687561	-27.425861	-27.408095	-28.011293
3.675	-27.443	0.978	1.713	0.270	-27.583976	-27.446776	-27.304839	-27.907404
3.700	-27.328	1.216	1.973	0.486	-27.470392	-27.462792	-27.191584	-27.793514
3.725	-27.155	1.576	2.366	0.812	-27.298807	-27.467907	-27.020328	-27.621624
3.750	-27.662	0.508	1.196	-0.153	-27.807223	-27.459623	-27.529073	-28.129735
3.775	-27.372	1.113	1.858	0.395	-27.518638	-27.439938	-27.240818	-27.840845
3.800	-27.450	0.946	1.675	0.244	-27.598054	-27.413754	-27.320562	-27.919956
3.825	-26.899	2.100	2.937	1.289	-27.048469	-27.387969	-26.771307	-27.370066
3.850	-26.978	1.931	2.751	1.136	-27.128884	-27.368684	-26.852051	-27.450176
3.875	-27.287	1.279	2.036	0.547	-27.439300	-27.359100	-27.162796	-27.760287
3.900	-27.094	1.681	2.476	0.911	-27.247715	-27.358115	-26.971541	-27.568397
3.925	-27.423	0.986	1.715	0.284	-27.578131	-27.361231	-27.302285	-27.898507
3.950	-27.016	1.838	2.646	1.055	-27.172546	-27.361546	-26.897030	-27.492618
3.975	-27.284	1.272	2.026	0.543	-27.441962	-27.352462	-27.166774	-27.761728
4.000	-27.607	0.590	1.278	-0.073	-27.766377	-27.329377	-27.491519	-28.085839
4.025	-27.018	1.823	2.628	1.043	-27.179003	-27.291103	-26.904520	-27.498117
4.050	-27.163	1.515	2.290	0.765	-27.325629	-27.239029	-27.051520	-27.644396
4.075	-27.032	1.786	2.586	1.011	-27.196255	-27.178455	-26.922521	-27.514674
4.100	-26.855	2.154	2.988	1.345	-27.020881	-27.116381	-26.747522	-27.338953
4.125	-26.877	2.104	2.932	1.300	-27.044507	-27.062107	-26.771522	-27.362231
4.150	-26.810	2.241	3.081	1.425	-26.979133	-27.025433	-26.706523	-27.296510
4.175	-26.787	2.286	3.129	1.466	-26.957759	-27.015859	-26.685524	-27.274788
4.200	-26.285	3.336	4.279	2.417	-26.457385	-27.040085	-26.185525	-26.774067
4.225	-26.791	2.270	3.110	1.452	-26.965011	-27.098111	-26.693525	-27.281345
4.250	-26.573	2.724	3.607	1.864	-26.748637	-27.181537	-26.477526	-27.064624
4.275	-27.242	1.315	2.063	0.590	-27.419263	-27.275163	-27.148527	-27.734902
4.300	-27.779	0.184	0.823	-0.433	-27.957889	-27.360389	-27.687527	-28.273181
4.325	-27.589	0.579	1.255	-0.075	-27.769515	-27.422215	-27.499528	-28.084459
4.350	-27.431	0.907	1.613	0.223	-27.613141	-27.453740	-27.343529	-27.927738
4.375	-27.165	1.462	2.220	0.725	-27.348766	-27.456466	-27.079529	-27.663017
4.400	-27.388	0.990	1.702	0.299	-27.573392	-27.438192	-27.304530	-27.887295
4.425	-26.996	1.809	2.599	1.041	-27.183018	-27.407918	-26.914531	-27.496574
4.450	-27.267	1.236	1.971	0.523	-27.455644	-27.372444	-27.187532	-27.768852
4.475	-27.018	1.755	2.538	0.994	-27.208270	-27.334870	-26.940532	-27.521131
4.500	-27.416	0.916	1.618	0.235	-27.607896	-27.295396	-27.340533	-27.920409
4.525	-26.882	2.033	2.840	1.246	-27.075807	-27.253607	-26.808873	-27.387921
4.550	-27.049	1.678	2.450	0.926	-27.244717	-27.208717	-26.978214	-27.556432
4.575	-27.284	1.180	1.904	0.476	-27.481627	-27.160727	-27.215554	-27.792944
4.600	-26.333	3.173	4.086	2.280	-26.532538	-27.110438	-26.266894	-26.843455
4.625	-27.080	1.599	2.362	0.857	-27.281448	-27.059048	-27.016235	-27.591967
4.650	-27.015	1.732	2.506	0.978	-27.218358	-27.009158	-26.953575	-27.528479
4.675	-26.830	2.116	2.925	1.326	-27.035269	-26.965769	-26.770915	-27.344990
4.700	-26.548	2.704	3.568	1.858	-26.755179	-26.935979	-26.491256	-27.064502
4.725	-26.294	3.233	4.147	2.338	-26.503090	-26.927290	-26.239596	-26.812013
4.750	-26.586	2.615	3.469	1.780	-26.797000	-26.943700	-26.533936	-27.105525
4.775	-26.559	2.667	3.526	1.828	-26.771910	-26.982610	-26.509277	-27.080037
4.800	-26.848	2.056	2.855	1.276	-27.062821	-27.034021	-26.800617	-27.370548
4.825	-26.870	2.006	2.799	1.231	-27.086731	-27.081931	-26.824957	-27.394060
4.850	-27.425	0.836	1.516	0.173	-27.643641	-27.110141	-27.382298	-27.950571
4.875	-27.082	1.552	2.300	0.822	-27.302552	-27.107152	-27.041638	-27.609083
4.900	-27.259	1.176	1.887	0.482	-27.481462	-27.071462	-27.220978	-27.787594
4.925	-26.887	1.952	2.737	1.186	-27.111373	-27.011973	-26.851319	-27.417106
4.950	-26.547	2.662	3.513	1.828	-26.773283	-26.945683	-26.513659	-27.078618
4.975	-26.305	3.166	4.064	2.285	-26.533193	-26.891393	-26.273999	-26.838129
5.000	-26.126	3.538	4.470	2.622	-26.356104	-26.862404	-26.097340	-26.660641
5.025	-26.410	2.936	3.809	2.078	-26.642346	-26.862846	-26.384072	-26.946429
5.050	-26.705	2.311	3.124	1.514	-26.939589	-26.886089	-26.681804	-27.243217
5.075	-27.058	1.564	2.305	0.839	-27.294832	-26.920332	-27.037536	-27.598006
5.100	-26.747	2.212	3.013	1.426	-26.986074	-26.953474	-26.729269	-27.288794
5.125	-26.837	2.017	2.799	1.251	-27.078317	-26.978617	-26.822001	-27.380582
5.150	-26.723	2.251	3.054	1.464	-26.966560	-26.994760	-26.710733	-27.268370
5.175	-26.976	1.715	2.465	0.979	-27.221803	-27.005103	-26.966465	-27.523159
5.200	-26.325	3.076	3.955	2.212	-26.573045	-27.013545	-26.318198	-26.873947
5.225	-26.655	2.378	3.189	1.581	-26.905288	-27.021688	-26.650930	-27.205735
5.250	-27.053	1.537	2.267	0.820	-27.305531	-27.026931	-27.051662	-27.605524
5.275	-26.799	2.065	2.844	1.299	-27.053773	-27.024773	-26.800395	-27.353312
5.300	-27.031	1.572	2.303	0.854	-27.288016	-27.011116	-27.035127	-27.587100
5.325	-26.834	1.980	2.750	1.224	-27.093259	-26.985259	-26.840859	-27.391889
5.350	-26.560	2.550	3.373	1.741	-26.821501	-26.950101	-26.569591	-27.119677
5.375	-26.556	2.553	3.375	1.745	-26.819744	-26.911444	-26.568324	-27.117465
5.400	-26.658	2.334	3.133	1.547	-26.923987	-26.875587	-26.673056	-27.221253
5.425	-26.446	2.774	3.614	1.945	-26.714230	-26.846830	-26.463788	-27.011042
5.450	-26.439	2.783	3.623	1.955	-26.709472	-26.827272	-26.459520	-27.005830
5.475	-26.499	2.651	3.478	1.837	-26.771715	-26.816315	-26.522253	-27.067618
5.500	-26.818	1.976	2.737	1.227	-27.092958	-26.812258	-26.843985	-27.388407
5.525	-26.216	3.234	4.113	2.366	-26.493618	-26.812918	-26.245193	-26.788558
5.550	-26.597	2.428	3.229	1.637	-26.877279	-26.815979	-26.629402	-27.171710
5.575	-26.631	2.350	3.143	1.568	-26.913940	-26.819640	-26.666610	-27.207862
5.600	-26.565	2.482	3.286	1.688	-26.850601	-26.822501	-26.603819	-27.144013
5.625	-26.467	2.682	3.504	1.870	-26.755261	-26.823261	-26.509027	-27.048165
5.650	-26.417	2.780	3.610	1.960	-26.707922	-26.821322	-26.462235	-27.000317
5.675	-26.806	1.957	2.708	1.216	-27.099583	-26.816583	-26.854444	-27.391469
5.700	-26.482	2.631	3.445	1.827	-26.778243	-26.810743	-26.533652	-27.069620
5.725	-26.533	2.518	3.319	1.726	-26.831904	-26.806504	-26.587861	-27.122772
5.750	-26.386	2.821	3.649	2.000	-26.687565	-26.807365	-26.444069	-26.977924
5.775	-26.164	3.280	4.152	2.417	-26.468226	-26.815826	-26.225277	-26.758076
5.800	-26.728	2.090	2.846	1.341	-27.034886	-26.832286	-26.792486	-27.324227
5.825	-26.496	2.571	3.372	1.777	-26.805547	-26.855347	-26.563694	-27.094379
5.850	-26.563	2.424	3.209	1.645	-26.875208	-26.883508	-26.633903	-27.163531
5.875	-26.903	1.703	2.419	0.994	-27.217869	-26.916169	-26.977111	-27.505682
5.900	-26.403	2.747	3.561	1.940	-26.720529	-26.954029	-26.480319	-27.007834
5.925	-26.378	2.793	3.610	1.982	-26.698190	-26.997590	-26.458528	-26.984986
5.950	-26.665	2.184	2.942	1.432	-26.987851	-27.045551	-26.748736	-27.274138
5.975	-26.874	1.739	2.453	1.030	-27.199511	-27.094011	-26.960945	-27.485289
6.000	-27.199	1.050	1.698	0.408	-27.527172	-27.137672	-27.289153	-27.812441
6.025	-26.912	1.650	2.350	0.954	-27.241264	-27.169764	-27.005083	-27.524859
6.050	-26.493	2.527	3.307	1.751	-26.823355	-27.188755	-26.589012	-27.105277
6.075	-27.058	1.337	2.000	0.678	-27.389446	-27.193846	-27.156942	-27.669695
6.100	-27.252	0.927	1.546	0.309	-27.584538	-27.185838	-27.353871	-27.863113
6.125	-26.807	1.859	2.562	1.155	-27.140629	-27.166829	-26.911801	-27.417531
6.150	-26.519	2.460	3.217	1.703	-26.853720	-27.139520	-26.626730	-27.128949
6.175	-26.772	1.926	2.627	1.223	-27.107812	-27.106212	-26.882660	-27.381367
