/* DATA DESCRIPTION:
Citation:	Lecavalier, Benoit; Fisher, David A; Milne, Glenn A; Vinther, Bo M; Tarasov, Lev; Huybrechts, Philippe; Lacelle, Denis; Main, Bill; Zheng, James; Bourgeois, Jocelyne; Dyke, Arthur (2019): Elevation history of Camp Century, Greenland. PANGAEA, https://doi.org/10.1594/PANGAEA.904114, 
	In supplement to: Lecavalier, B et al. (2017): High Arctic Holocene temperature record from the Agassiz ice cap and Greenland ice sheet evolution. Proceedings of the National Academy of Sciences, 114(23), 5952-5957, https://doi.org/10.1073/pnas.1616287114
Keyword(s):	Agassiz ice cap; Canadian Arctic; Greenland ice sheet; Holocene climate; ice core; temperature reconstruction
Coverage:	LATITUDE: 77.166000 * LONGITUDE: -61.133000
Event(s):	Camp_Century * LATITUDE: 77.166000 * LONGITUDE: -61.133000 * LOCATION: Greenland * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Lecavalier, Benoit (b.lecavalier@mun.ca)
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: elevation history
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma upper
	Surface elevation change [m] (Surf elev change) * PI: Lecavalier, Benoit (b.lecavalier@mun.ca) * COMMENT: 2 sigma lower
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1752 data points
*/
Age [ka BP]	Surf elev change [m] (elevation history)	Surf elev change [m] (2 sigma upper)	Surf elev change [m] (2 sigma lower)
0.72	-17.101550080	87.046803370	-128.207468400
0.74	-17.588686400	86.563411620	-128.637077900
0.76	-18.084061060	86.069691540	-129.075542100
0.78	-18.580660870	85.572747090	-129.516435500
0.80	-19.085758130	85.065052850	-129.966612400
0.82	-19.595950160	84.550320240	-130.422728000
0.84	-20.115654120	84.024045650	-130.888894600
0.86	-20.633274820	83.495863070	-131.356392200
0.88	-21.160467740	82.954368650	-131.835596900
0.90	-21.693523870	82.405565090	-132.321085000
0.92	-22.235805950	81.846052310	-132.815967800
0.94	-22.778943520	81.284763290	-133.312161500
0.96	-23.332432950	80.711835320	-133.818639100
0.98	-23.885505680	80.134669620	-134.328688200
1.00	-24.432382360	79.559684990	-134.836483800
1.02	-24.980742840	78.982714520	-135.345809100
1.04	-25.527763190	78.406830340	-135.853875600
1.06	-26.070416170	77.835296890	-136.357719800
1.08	-26.610821480	77.265979740	-136.859278100
1.10	-27.144692370	76.699345510	-137.358125100
1.12	-27.664787310	76.142248530	-137.848036400
1.14	-28.178162790	75.592296540	-138.331180100
1.16	-28.681305110	75.053232710	-138.804154400
1.18	-29.169168330	74.530424700	-139.262082100
1.20	-29.643206090	74.022387470	-139.706305700
1.22	-30.098787420	73.530539310	-140.135531000
1.24	-30.532943550	73.056158410	-140.548590800
1.26	-30.938182900	72.612523290	-140.933430000
1.28	-31.323939460	72.189741690	-141.299047800
1.30	-31.685651310	71.792641580	-141.641086700
1.32	-32.021096650	71.423601840	-141.957411900
1.34	-32.334070210	71.076108750	-142.253959300
1.36	-32.612727970	70.760103580	-142.521728700
1.38	-32.859220590	70.478392910	-142.758195200
1.40	-33.079028820	70.224987440	-142.968750200
1.42	-33.262681040	70.010119000	-143.144205700
1.44	-33.414929100	69.828782300	-143.289124600
1.46	-33.541110550	69.673829220	-143.410015200
1.48	-33.630356100	69.554077940	-143.498892600
1.50	-33.687428010	69.468635190	-143.556587100
1.52	-33.713627740	69.416113940	-143.584376900
1.54	-33.709915330	69.395483200	-143.583217000
1.56	-33.672690720	69.410500860	-143.549704200
1.58	-33.600883130	69.461510370	-143.483491400
1.60	-33.493940360	69.547125250	-143.385790300
1.62	-33.359638280	69.661721030	-143.261659800
1.64	-33.186749530	69.817043750	-143.100391300
1.66	-32.988069080	69.999567670	-142.914215200
1.68	-32.766040170	70.206659440	-142.705474600
1.70	-32.505340570	70.454227410	-142.459682800
1.72	-32.219115260	70.727759750	-142.189964900
1.74	-31.894969510	71.040949350	-141.883844600
1.76	-31.543198030	71.382914140	-141.551152500
1.78	-31.165515110	71.751772080	-141.193549500
1.80	-30.754496810	72.155248900	-140.803975600
1.82	-30.316557970	72.586669280	-140.388442400
1.84	-29.848191210	73.050929990	-139.942457800
1.86	-29.348620440	73.547348860	-139.466606300
1.88	-28.831261300	74.061792730	-138.973733400
1.90	-28.278626880	74.612588330	-138.447233400
1.92	-27.708425240	75.181109700	-137.904042900
1.94	-27.115323850	75.773037820	-137.339034700
1.96	-26.508183210	76.382643900	-136.757438300
1.98	-25.878627310	77.014962380	-136.154713600
2.00	-25.235114280	77.661084310	-135.538976800
2.02	-24.576142030	78.322557380	-134.908852500
2.04	-23.906846520	78.993938810	-134.269310600
2.06	-23.224757980	79.677810530	-133.618037000
2.08	-22.534278540	80.375177040	-132.954149600
2.10	-21.831970990	81.084142870	-132.279398200
2.12	-21.116038190	81.806386430	-131.592289000
2.14	-20.401291950	82.526312290	-130.907007400
2.16	-19.682408850	83.249495670	-130.218522300
2.18	-18.963445390	83.971656070	-129.530748700
2.20	-18.245559970	84.698374360	-128.838650400
2.22	-17.530448940	85.421705040	-128.149469000
2.24	-16.810482860	86.148963180	-127.456594400
2.26	-16.091180580	86.874327920	-126.765333500
2.28	-15.378211530	87.591807840	-126.081123400
2.30	-14.674616730	88.298171390	-125.406889400
2.32	-13.978760720	89.002563750	-124.734323200
2.34	-13.285592870	89.704132680	-124.064190600
2.36	-12.600483290	90.395868700	-123.402846700
2.38	-11.921214380	91.080071980	-122.748196000
2.40	-11.252856340	91.751391020	-122.105088500
2.42	-10.591912340	92.413462600	-121.470215700
2.44	-9.948426910	93.063345190	-120.846240300
2.46	-9.315414317	93.702780280	-120.231573800
2.48	-8.683686269	94.339335460	-119.619340100
2.50	-8.076305710	94.948764040	-119.031540200
2.52	-7.480945807	95.543994360	-118.456431800
2.54	-6.885118522	96.138125540	-117.882117700
2.56	-6.310869030	96.715398480	-117.322895000
2.58	-5.752037392	97.277636150	-116.777101700
2.60	-5.210851159	97.819698500	-116.249396100
2.62	-4.687759683	98.341095130	-115.740216300
2.64	-4.177237328	98.847631690	-115.244285200
2.66	-3.697644439	99.319999260	-114.779123300
2.68	-3.252679879	99.761203240	-114.341999800
2.70	-2.843879006	100.166168300	-113.937519700
2.72	-2.454680221	100.548858500	-113.553006400
2.74	-2.098110240	100.895567000	-113.200899700
2.76	-1.781306934	101.198808000	-112.887992600
2.78	-1.506904569	101.455814000	-112.616795700
2.80	-1.279968235	101.667411500	-112.386557100
2.82	-1.103512433	101.828286500	-112.202098600
2.84	-0.976385424	101.935649500	-112.065950400
2.86	-0.900464426	101.987533200	-111.979896900
2.88	-0.886777225	101.972350200	-111.954454400
2.90	-0.936464626	101.888924600	-111.990688500
2.92	-1.055200548	101.736567200	-112.089223300
2.94	-1.248014043	101.509135600	-112.255632700
2.96	-1.522524912	101.194229900	-112.501170600
2.98	-1.863984240	100.807349500	-112.811766600
3.00	-2.295867884	100.323842300	-113.209795700
3.02	-2.804311077	99.758296540	-113.682015200
3.04	-3.406916698	99.096573150	-114.241257200
3.06	-4.101763303	98.341000890	-114.885408100
3.08	-4.881675628	97.494484080	-115.611837500
3.10	-5.752348477	96.551075070	-116.425951800
3.12	-6.713850103	95.510718550	-117.327808600
3.14	-7.767000602	94.372569630	-118.318182200
3.16	-8.917220670	93.134412070	-119.399091800
3.18	-10.162372150	91.799735040	-120.567377800
3.20	-11.499240570	90.367269420	-121.824199800
3.22	-12.927653380	88.837226080	-123.169373900
3.24	-14.440676390	87.216906100	-124.596280500
3.26	-16.032383280	85.512567430	-126.099246700
3.28	-17.713117460	83.715961750	-127.685767000
3.30	-19.476950550	81.835288680	-129.348406100
3.32	-21.311717010	79.878813610	-131.079669100
3.34	-23.208059900	77.856405940	-132.870605100
3.36	-25.172293770	75.761451290	-134.727225600
3.38	-27.202215940	73.596290930	-136.647412800
3.40	-29.286858090	71.374321600	-138.619013900
3.42	-31.418606330	69.105977520	-140.632565500
3.44	-33.601969320	66.782286480	-142.696218900
3.46	-35.809280770	64.432366130	-144.783546100
3.48	-38.049178600	62.047134600	-146.902769600
3.50	-40.311533690	59.637248960	-149.044189100
3.52	-42.590769810	57.209800800	-151.201341200
3.54	-44.882475040	54.772039790	-153.367618300
3.56	-47.179978590	52.327158250	-155.540096100
3.58	-49.466685620	49.892591320	-157.702922100
3.60	-51.736710770	47.474535550	-159.850444800
3.62	-53.988368210	45.074768870	-161.981023600
3.64	-56.225452090	42.690050970	-164.097572800
3.66	-58.426599640	40.345426620	-166.177332600
3.68	-60.598149360	38.030914540	-168.229335900
3.70	-62.736672880	35.750117020	-170.250286200
3.72	-64.827739690	33.518202500	-172.226388200
3.74	-66.868298450	31.338375870	-174.154705700
3.76	-68.855106750	29.214441600	-176.031758700
3.78	-70.787637680	27.149388470	-177.854807200
3.80	-72.652315460	25.154663170	-179.613434100
3.82	-74.455603520	23.223475020	-181.313776100
3.84	-76.185197020	21.368749840	-182.944073500
3.86	-77.841938810	19.589612350	-184.505103300
3.88	-79.437148060	17.874350450	-186.007516400
3.90	-80.957706500	16.238959480	-187.436823700
3.92	-82.396448700	14.688660100	-188.788316000
3.94	-83.764872020	13.211398520	-190.072963900
3.96	-85.056950700	11.813534130	-191.285024800
3.98	-86.268097560	10.499913650	-192.420128700
4.00	-87.402699140	9.265952866	-193.482466100
4.02	-88.460564700	8.113852041	-194.470069400
4.04	-89.433587120	7.050173599	-195.377011300
4.06	-90.331504140	6.064717848	-196.212579500
4.08	-91.155793520	5.155948422	-196.978197900
4.10	-91.899730540	4.330947380	-197.667467500
4.12	-92.567320510	3.585535909	-198.284210900
4.14	-93.156482920	2.923500076	-198.825020600
4.16	-93.660965400	2.349930577	-199.285305200
4.18	-94.085358060	1.859936592	-199.669533400
4.20	-94.429568070	1.453631138	-199.977631900
4.22	-94.693371200	1.131253819	-200.209412500
4.24	-94.880856900	0.888525748	-200.368788300
4.26	-94.989977970	0.729054861	-200.452513600
4.28	-95.020054790	0.652326721	-200.461084500
4.30	-94.970005220	0.659278308	-200.393679700
4.32	-94.830923460	0.759287780	-200.241816100
4.34	-94.624011200	0.930077744	-200.025743600
4.36	-94.326664620	1.195401663	-199.723919200
4.38	-93.946247150	1.549024257	-199.341974900
4.40	-93.498692250	1.972991655	-198.896168200
4.42	-92.953025310	2.499461864	-198.357270400
4.44	-92.340563220	3.095500410	-197.755136700
4.46	-91.644255140	3.778977828	-197.073506900
4.48	-90.861087170	4.553033776	-196.309492300
4.50	-90.008300510	5.401317940	-195.477894300
4.52	-89.087165090	6.321226134	-194.581038000
4.54	-88.094716100	7.315244059	-193.616627600
4.56	-87.021279020	8.393500781	-192.575430200
4.58	-85.890011220	9.531617504	-191.479534700
4.60	-84.703515220	10.726819830	-190.331420600
4.62	-83.448069630	11.995697100	-189.115990300
4.64	-82.138316140	13.321560090	-187.848353300
4.66	-80.778227940	14.699213370	-186.533186600
4.68	-79.376262010	16.119735070	-185.178537300
4.70	-77.934020240	17.581386860	-183.785941800
4.72	-76.447532940	19.088289590	-182.351617500
4.74	-74.929244630	20.630029870	-180.884974000
4.76	-73.388315110	22.195768390	-179.395816000
4.78	-71.830898730	23.777460330	-177.891448600
4.80	-70.255740830	25.376400970	-176.370707400
4.82	-68.677280210	26.977393410	-174.847396800
4.84	-67.090309560	28.585885210	-173.316581300
4.86	-65.506116720	30.193214720	-171.786131000
4.88	-63.936595180	31.786012010	-170.268188300
4.90	-62.371993600	33.372118210	-168.755641000
4.92	-60.826118170	34.936998780	-167.261685100
4.94	-59.304932030	36.474355610	-165.792038700
4.96	-57.805659760	37.987089110	-164.344067900
4.98	-56.334608870	39.472242650	-162.920452900
5.00	-54.902475490	40.918323620	-161.531619100
5.02	-53.505735720	42.325535910	-160.177371900
5.04	-52.145710550	43.692460290	-158.858986400
5.06	-50.818955860	45.022690820	-157.573183900
5.08	-49.536373320	46.304741820	-156.330369000
5.10	-48.300448640	47.540075040	-155.129189400
5.12	-47.102320890	48.738782930	-153.960454100
5.14	-45.941510390	49.896451270	-152.828134300
5.16	-44.828893480	51.001630730	-151.742581600
5.18	-43.756445280	52.062765810	-150.696103300
5.20	-42.718625160	53.085656840	-149.683385200
5.22	-41.729656730	54.059671780	-148.714022200
5.24	-40.785583880	54.991294790	-147.782066900
5.26	-39.882111150	55.878388400	-146.889385900
5.28	-39.014217790	56.726205610	-146.031110100
5.30	-38.178772600	57.538031230	-145.204145400
5.32	-37.382098150	58.307214720	-144.414408400
5.34	-36.627920680	59.034209950	-143.661361200
5.36	-35.905515620	59.734651370	-142.930679200
5.38	-35.213257800	60.401524380	-142.228590400
5.40	-34.558181700	61.027452930	-141.561644400
5.42	-33.936677920	61.616247700	-140.926231300
5.44	-33.340120870	62.177018890	-140.313925500
5.46	-32.771982140	62.710316900	-139.724066800
5.48	-32.249441510	63.205127330	-139.166488500
5.50	-31.754951840	63.668773670	-138.634376400
5.52	-31.290398500	64.099343470	-138.129297400
5.54	-30.857841220	64.494745610	-137.652980800
5.56	-30.454950650	64.857511180	-137.202960800
5.58	-30.079941720	65.193345030	-136.773893300
5.60	-29.747886290	65.496674900	-136.370674300
5.62	-29.443255200	65.770033180	-135.990848900
5.64	-29.167763130	66.011756680	-135.635778200
5.66	-28.917520120	66.226068410	-135.301489200
5.68	-28.699608930	66.405692570	-134.994463800
5.70	-28.501842500	66.566620600	-134.700072900
5.72	-28.350925570	66.694870090	-134.430910400
5.74	-28.224580710	66.797146060	-134.180809900
5.76	-28.116433000	66.880341420	-133.943458900
5.78	-28.034200620	66.936600910	-133.725970700
5.80	-27.973389840	66.970898900	-133.523842100
5.82	-27.932172190	66.987441640	-133.333292400
5.84	-27.923379300	66.991202050	-133.149872600
5.86	-27.913290100	66.997738480	-132.959554500
5.88	-27.919499710	66.988880900	-132.778955600
5.90	-27.929164830	66.978460830	-132.595677100
5.92	-27.933481600	66.976080380	-132.401192500
5.94	-27.937194560	66.977859640	-132.199245600
5.96	-27.958115960	66.988342000	-131.985968700
5.98	-27.965881680	67.016206030	-131.753774200
6.00	-27.956425290	67.066136840	-131.498733300
6.02	-27.650282400	67.146386680	-131.213712400
6.04	-27.328021890	67.248391520	-130.906874300
6.06	-26.980794780	67.381879560	-130.569808800
6.08	-26.618632630	67.562345470	-130.188901700
6.10	-26.230137750	67.777454170	-129.775826900
6.12	-25.796501200	68.046607920	-129.313476200
6.14	-25.312484000	68.375793710	-128.796941200
6.16	-24.783596700	68.759678560	-128.231609100
6.18	-24.209744260	69.198840030	-127.617520200
6.20	-23.604371880	69.705256130	-126.944380200
6.22	-22.946132250	70.278745970	-126.212941800
6.24	-22.230334780	70.922121250	-125.421248700
6.26	-21.465418230	71.626973670	-124.577532200
6.28	-20.644044050	72.401443140	-123.675002700
6.30	-19.770040110	73.241938780	-122.717514700
6.32	-18.858939240	74.157837810	-121.697143900
6.34	-17.884894720	75.155921230	-120.608311600
6.36	-16.860306220	76.219013520	-119.467163300
6.38	-15.770744340	77.362628300	-118.260132000
6.40	-14.624958700	78.577874880	-116.995775100
6.42	-13.420490990	79.867631880	-115.671942600
6.44	-12.182103440	81.230642040	-114.290211500
6.46	-10.897289900	82.662372970	-112.855102000
6.48	-9.551982032	84.171227960	-111.359360800
6.50	-8.150568903	85.752778980	-109.807347700
6.52	-6.338249989	87.405903390	-108.200387200
6.54	-4.478100994	89.123288360	-106.545386200
6.56	-2.591251595	90.906122810	-104.841497300
6.58	-0.648926400	92.770129370	-103.074643400
6.60	1.341102415	94.698424920	-101.260305700
6.62	3.381741356	96.694048430	-99.395844080
6.64	5.478813551	98.763082850	-97.475818740
6.66	7.620866134	100.893425500	-95.511260080
6.68	9.794802220	103.092977400	-93.495035430
6.70	12.013567160	105.364331900	-91.424772480
6.72	14.282454420	107.702029300	-89.305377150
6.74	16.608252920	110.113009100	-87.130470930
6.76	18.991031940	112.597144800	-84.900061440
6.78	21.430755580	115.154154400	-82.614272620
6.80	23.913428590	117.788966300	-80.268475660
6.82	26.439204250	120.494496200	-77.868925070
6.84	29.029211530	123.279729700	-75.407271260
6.86	31.686557170	126.147618000	-72.880631550
6.88	34.406706140	129.093083500	-70.293420830
6.90	37.198180360	132.124742300	-67.637619870
6.92	40.039331140	135.237267700	-64.917857450
6.94	42.939023800	138.436660400	-62.128476170
6.96	45.910280220	141.721452600	-59.270595000
6.98	48.950918690	145.088967600	-56.346430810
7.00	52.061524130	148.539467500	-53.355535580
7.02	55.513697650	152.072140800	-50.298440860
7.04	59.030422840	155.696786100	-47.166055270
7.06	62.597060960	159.398615800	-43.971613600
7.08	66.232667050	163.180861600	-40.712006880
7.10	69.951871330	167.058539300	-37.373443160
7.12	73.727524540	171.002752900	-33.982005480
7.14	77.567743170	175.021674200	-30.530148090
7.16	81.454286190	179.108824900	-27.023643030
7.18	85.392195470	183.273801400	-23.453674610
7.20	89.392392020	187.510106600	-19.826072300
7.22	93.454208690	191.816730700	-16.141707840
7.24	97.562099050	196.177068200	-12.415634190
7.26	101.712310600	200.586911800	-8.651676307
7.28	105.903739400	205.055426000	-4.841548219
7.30	110.114847800	209.567704400	-0.998840393
7.32	114.355235400	214.115136700	2.868543727
7.34	118.629665400	218.702587800	6.764903805
7.36	122.929167500	223.320480700	10.681402470
7.38	127.247632000	227.962295600	14.611939650
7.40	131.574942500	232.625484800	18.554003810
7.42	135.886511000	237.294802200	22.493529900
7.44	140.202015700	241.972103300	26.431949210
7.46	144.520468200	246.656354000	30.368044980
7.48	148.838223000	251.343772200	34.298082100
7.50	153.143610000	256.022154900	38.210660040
7.52	157.380416000	260.684677200	42.099239410
7.54	161.587771800	265.338945400	45.970362600
7.56	165.775248700	269.976631300	49.816096990
7.58	169.953203200	274.608770500	53.646089630
7.60	174.104633100	279.217682200	57.443916500
7.62	178.235664600	283.809969400	61.215190990
7.64	182.335479400	288.378385000	64.952952580
7.66	186.395989500	292.928308400	68.661704370
7.68	190.438944400	297.465328600	72.346121740
7.70	194.461389100	301.986584100	76.003239620
7.72	198.461207300	306.490110100	79.630920650
7.74	202.442335900	310.980294200	83.232811550
7.76	206.406507200	315.461391800	86.812461940
7.78	210.343132600	319.936251300	90.372170280
7.80	214.266847600	324.404576600	93.911411520
7.82	218.181295300	328.870425600	97.433647420
7.84	222.088682100	333.336324300	100.940986900
7.86	225.993504400	337.807207300	104.437767200
7.88	229.889002700	342.277013100	107.918403900
7.90	233.774347200	346.757726300	111.393721400
7.92	237.662682200	351.249764300	114.864093500
7.94	241.552395800	355.751575600	118.328158600
7.96	245.443848000	360.263679700	121.786486100
7.98	249.333208600	364.782144800	125.235657900
8.00	253.226641100	369.313547700	128.681846800
8.02	257.210458000	373.854007100	132.121783900
8.04	261.196562000	378.405679300	135.557731300
8.06	265.177312200	382.960606500	138.982818400
8.08	269.152991700	387.519154200	142.397775700
8.10	273.122478200	392.080197300	145.802023000
8.12	277.074341300	396.631801400	149.185207000
8.14	281.006879000	401.178058100	152.551555700
8.16	284.916115600	405.709470700	155.892990500
8.18	288.799916700	410.223544000	159.207803300
8.20	292.656148800	414.718197200	162.494679200
8.22	296.468125000	419.176097600	165.738472800
8.24	300.235329500	423.596933900	168.939495100
8.26	303.949062700	427.973390200	172.091700400
8.28	307.601859300	432.296656200	175.187680000
8.30	311.191648000	436.564750200	178.226212200
8.32	314.713472600	440.772942300	181.203562000
8.34	318.162093400	444.916279000	184.115767100
8.36	321.529679200	448.987162200	186.956435000
8.38	324.810403700	452.977893900	189.719050600
8.40	327.995913800	456.882275800	192.398414700
8.42	331.086922100	460.702453500	194.996856300
8.44	334.079911400	464.435713500	197.512244900
8.46	336.966071400	468.073865600	199.937426300
8.48	339.749792000	471.622702500	202.277883000
8.50	342.434124100	475.081109200	204.532769700
8.52	344.906415100	478.453522100	206.706221100
8.54	347.268386000	481.732346400	208.791392200
8.56	349.520387000	484.919441400	210.789959300
8.58	351.682920000	488.037911800	212.722824600
8.60	353.749952500	491.083056500	214.585593800
8.62	355.732789200	494.060182400	216.382901500
8.64	357.631251000	496.975490700	218.120142200
8.66	359.448274200	499.837411300	219.804684200
8.68	361.193443100	502.657681300	221.446912100
8.70	362.866059800	505.437345600	223.047418600
8.72	364.475099200	508.187588500	224.615966100
8.74	366.050354200	510.931144300	226.172773700
8.76	367.589734000	513.671914900	227.720944700
8.78	369.092631100	516.416799900	229.266288600
8.80	370.575028900	519.184147800	230.824997800
8.82	372.037345500	521.975887700	232.398359000
8.84	373.495772800	524.810426500	234.002620200
8.86	374.967351900	527.695251200	235.644128000
8.88	376.471887200	530.655416500	237.345196100
8.90	378.004881100	533.695796100	239.109842600
8.92	379.565123500	536.815981500	240.937321100
8.94	381.165414900	540.030121100	242.840134000
8.96	382.819547700	543.353229800	244.831610900
8.98	384.546440500	546.793146100	246.918614200
9.00	386.355323500	550.360456100	249.110550700
9.02	390.274485400	554.056583500	251.408566300
9.04	394.268384500	557.883899900	253.814726200
9.06	398.356990400	561.862964500	256.347667000
9.08	402.538893300	565.991653600	259.005501800
9.10	406.835333100	570.279004400	261.796542100
9.12	411.240379600	574.715254400	264.712105600
9.14	415.753676700	579.313780000	267.764584300
9.16	420.379535100	584.077705300	270.957137100
9.18	425.112016900	588.999233900	274.283045100
9.20	429.952680100	594.078229400	277.742646600
9.22	434.923521100	599.323921200	281.344853700
9.24	440.026697700	604.730041400	285.084583000
9.26	445.243767400	610.293344000	288.959564300
9.28	450.572045700	616.008611300	292.965806300
9.30	456.013866500	621.875784200	297.104067300
9.32	461.561939000	627.884556000	301.365867900
9.34	467.233721100	634.039644200	305.756428300
9.36	473.039032300	640.337645800	310.273655900
9.38	478.954683800	646.773011800	314.913590900
9.40	484.974640800	653.336423100	319.668873600
9.42	491.099217200	660.025154700	324.538177800
9.44	497.318976600	666.826213100	329.510900600
9.46	503.650559100	673.744598800	334.592810600
9.48	510.107506700	680.775802600	339.781077200
9.50	516.651106300	687.900971700	345.059878400
9.52	522.992601900	695.122486400	350.432685900
9.54	529.418134500	702.428979000	355.890507800
9.56	535.921661300	709.811029100	361.426127800
9.58	542.512167200	717.267545400	367.039893700
9.60	549.202534500	724.788754500	372.724266400
9.62	555.974659700	732.380568800	378.485930000
9.64	562.818816700	740.029955400	384.314349400
9.66	569.719530900	747.717924500	390.193552100
9.68	576.687243700	755.452873500	396.132344500
9.70	583.722957100	763.227975300	402.125698000
9.72	590.839327700	771.029355800	408.162129400
9.74	598.000670600	778.847509400	414.234053600
9.76	605.207841500	786.681269200	420.341378700
9.78	612.449434900	794.516744900	426.472379400
9.80	619.715933300	802.342200800	432.617193400
9.82	627.017720800	810.163794900	438.782099800
9.84	634.378399600	817.976190600	444.962835300
9.86	641.765070300	825.775620300	451.156446000
9.88	649.148970800	833.530889200	457.334946100
9.90	656.531667400	841.242881700	463.499357200
9.92	663.907843300	848.905460100	469.644194600
9.94	671.280316100	856.520208500	475.770845800
9.96	678.666239900	864.073071900	481.866363300
9.98	686.028835500	871.558477500	487.925357600
10.00	693.365511300	878.974014500	493.945166300
10.02	699.110637700	886.307972500	499.914543900
10.04	704.809454400	893.551888500	505.825051100
10.06	710.461238500	900.705935800	511.675949600
10.08	716.090532800	907.765828400	517.462318300
10.10	721.660593400	914.724528600	523.176607600
10.12	727.164754000	921.577523200	528.813434900
10.14	732.598849500	928.322114900	534.368947800
10.16	737.951750200	934.948466800	539.832702400
10.18	743.220193400	941.455209800	545.201826800
10.20	748.431527400	947.846174000	550.478085000
10.22	753.561984300	954.123018400	555.661187100
10.24	758.592496500	960.270807400	560.735707400
10.26	763.523748600	966.292757100	565.702632800
10.28	768.345161800	972.180327900	570.552226100
10.30	773.064754700	977.944610300	575.292527600
10.32	777.708974000	983.593303400	579.928470300
10.34	782.251905700	989.120646400	584.452752900
10.36	786.671460200	994.510286100	588.848453100
10.38	790.995106000	999.787884600	593.140140200
10.40	795.215922600	1004.953604000	597.323307400
10.42	799.330740900	1010.006672000	601.395352500
10.44	803.357230800	1014.949502000	605.356620000
10.46	807.285426200	1019.787675000	609.210398100
10.48	811.117928700	1024.531269000	612.964136700
10.50	814.857527300	1029.185432000	616.620898600
10.52	818.824574200	1033.748451000	620.177617500
10.54	822.705555100	1038.233295000	623.644663600
10.56	826.516532800	1042.643870000	627.024293400
10.58	830.252119500	1046.985445000	630.320130700
10.60	833.911816800	1051.264571000	633.537088100
10.62	837.500564700	1055.487775000	636.680197200
